Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,480,All cancers excl. non-melanoma skin cancer,0,2795,135.8,219.3,14.5
1,C00-06,480,"Lip, oral cavity",0,64,3.1,5.0,0.36
2,C07-08,480,Salivary glands,0,7,0.33,0.55,0.05
3,C09-10,480,Oropharynx,0,15,0.75,1.2,0.09
4,C11,480,Nasopharynx,0,8,0.41,0.63,0.05
5,C12-13,480,Hypopharynx,0,8,0.39,0.63,0.04
6,C15,480,Oesophagus,0,39,1.8,3.1,0.22
7,C16,480,Stomach,0,126,5.7,9.9,0.68
41,C18-C21,480,Colorectum,0,370,16.9,29.0,2.1
11,C22,480,Liver and intrahepatic bile ducts,0,75,3.6,5.9,0.43
12,C23,480,Gallbladder,0,22,0.95,1.7,0.11
13,C25,480,Pancreas,0,80,3.8,6.3,0.47
14,C32,480,Larynx,0,35,1.7,2.8,0.22
15,C33-34,480,"Trachea, bronchus and lung",0,187,8.4,14.7,1.0
16,C43,480,Melanoma of skin,0,5,0.24,0.39,0.03
18,C45,480,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,480,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,480,Breast,0,537,52.7,83.0,5.7
21,C51,480,Vulva,0,10,0.77,1.6,0.09
22,C52,480,Vagina,0,5,0.44,0.77,0.05
23,C53,480,Cervix uteri,0,136,12.9,21.0,1.3
24,C54,480,Corpus uteri,0,144,13.0,22.3,1.7
25,C56,480,Ovary,0,77,7.9,11.9,0.86
26,C60,480,Penis,0,4,0.39,0.64,0.06
27,C61,480,Prostate,0,261,24.8,41.6,2.9
28,C62,480,Testis,0,9,1.3,1.4,0.09
29,C64,480,Kidney,0,35,1.7,2.8,0.21
30,C67,480,Bladder,0,70,3.1,5.5,0.36
31,C70-72,480," Brain, central nervous system",0,40,2.4,3.1,0.23
32,C73,480,Thyroid,0,28,1.6,2.2,0.16
33,C81,480,Hodgkin lymphoma,0,11,0.76,0.86,0.07
34,C82-86+C88,480,Non-Hodgkin lymphoma,0,47,2.5,3.7,0.26
35,C90,480,Multiple myeloma,0,29,1.3,2.3,0.16
36,C91-95,480,Leukaemia,0,60,4.1,4.7,0.35
