Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,496,All cancers excl. non-melanoma skin cancer,0,6651,234.0,196.9,24.5
1,C00-06,496,"Lip, oral cavity",0,39,1.5,1.2,0.16
2,C07-08,496,Salivary glands,0,18,0.59,0.53,0.07
3,C09-10,496,Oropharynx,0,16,0.51,0.47,0.05
4,C11,496,Nasopharynx,0,21,0.63,0.62,0.07
5,C12-13,496,Hypopharynx,0,7,0.26,0.21,0.01
6,C15,496,Oesophagus,0,401,15.7,11.9,1.8
7,C16,496,Stomach,0,1000,35.5,29.6,4.2
41,C18-C21,496,Colorectum,0,216,7.6,6.4,0.90
11,C22,496,Liver and intrahepatic bile ducts,0,2668,96.1,79.0,11.3
12,C23,496,Gallbladder,0,13,0.44,0.38,0.04
13,C25,496,Pancreas,0,153,5.5,4.5,0.68
14,C32,496,Larynx,0,35,1.2,1.0,0.15
15,C33-34,496,"Trachea, bronchus and lung",0,514,19.0,15.2,2.4
16,C43,496,Melanoma of skin,0,5,0.18,0.15,0.03
18,C45,496,Mesothelioma,0,7,0.26,0.21,0.04
19,C46,496,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,496,Breast,0,227,12.6,13.2,1.4
21,C51,496,Vulva,0,6,0.42,0.35,0.04
22,C52,496,Vagina,0,10,0.63,0.58,0.07
23,C53,496,Cervix uteri,0,361,20.2,21.0,2.1
24,C54,496,Corpus uteri,0,31,1.9,1.8,0.22
25,C56,496,Ovary,0,98,5.7,5.7,0.60
26,C60,496,Penis,0,8,0.67,0.48,0.09
27,C61,496,Prostate,0,31,3.3,1.9,0.31
28,C62,496,Testis,0,9,0.54,0.54,0.05
29,C64,496,Kidney,0,132,4.3,3.9,0.50
30,C67,496,Bladder,0,46,1.6,1.4,0.19
31,C70-72,496," Brain, central nervous system",0,93,3.0,2.8,0.31
32,C73,496,Thyroid,0,45,1.3,1.3,0.14
33,C81,496,Hodgkin lymphoma,0,16,0.50,0.47,0.06
34,C82-86+C88,496,Non-Hodgkin lymphoma,0,45,1.5,1.3,0.19
35,C90,496,Multiple myeloma,0,9,0.29,0.27,0.02
36,C91-95,496,Leukaemia,0,58,1.8,1.7,0.14
