Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,504,All cancers excl. non-melanoma skin cancer,0,63110,148.7,167.1,15.4
1,C00-06,504,"Lip, oral cavity",0,705,1.7,1.9,0.18
2,C07-08,504,Salivary glands,0,167,0.39,0.44,0.04
3,C09-10,504,Oropharynx,0,110,0.25,0.29,0.03
4,C11,504,Nasopharynx,0,987,2.4,2.6,0.25
5,C12-13,504,Hypopharynx,0,129,0.30,0.34,0.03
6,C15,504,Oesophagus,0,433,1.0,1.2,0.12
7,C16,504,Stomach,0,2355,5.5,6.2,0.61
41,C18-C21,504,Colorectum,0,5306,12.3,14.1,1.4
11,C22,504,Liver and intrahepatic bile ducts,0,1112,2.6,2.9,0.30
12,C23,504,Gallbladder,0,530,1.2,1.4,0.15
13,C25,504,Pancreas,0,1229,2.8,3.3,0.36
14,C32,504,Larynx,0,1195,2.8,3.2,0.35
15,C33-34,504,"Trachea, bronchus and lung",0,8825,20.4,23.4,2.5
16,C43,504,Melanoma of skin,0,236,0.55,0.62,0.06
18,C45,504,Mesothelioma,0,69,0.16,0.18,0.02
19,C46,504,Kaposi sarcoma,0,107,0.25,0.28,0.02
20,C50,504,Breast,0,12756,58.4,67.1,6.1
21,C51,504,Vulva,0,206,0.88,1.1,0.10
22,C52,504,Vagina,0,66,0.31,0.35,0.04
23,C53,504,Cervix uteri,0,2644,12.0,13.9,1.4
24,C54,504,Corpus uteri,0,918,4.2,4.8,0.55
25,C56,504,Ovary,0,1367,6.3,7.2,0.71
26,C60,504,Penis,0,7,0.03,0.04,0.00
27,C61,504,Prostate,0,4935,23.6,26.3,2.9
28,C62,504,Testis,0,156,0.79,0.83,0.06
29,C64,504,Kidney,0,752,1.9,2.0,0.19
30,C67,504,Bladder,0,2207,5.1,5.8,0.62
31,C70-72,504," Brain, central nervous system",0,1389,3.5,3.7,0.34
32,C73,504,Thyroid,0,2861,6.8,7.6,0.70
33,C81,504,Hodgkin lymphoma,0,799,2.0,2.1,0.17
34,C82-86+C88,504,Non-Hodgkin lymphoma,0,2381,5.7,6.3,0.61
35,C90,504,Multiple myeloma,0,549,1.3,1.5,0.15
36,C91-95,504,Leukaemia,0,1502,3.8,4.0,0.34
