Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,104,All cancers excl. non-melanoma skin cancer,0,76043,132.7,137.7,13.7
1,C00-06,104,"Lip, oral cavity",0,2495,4.4,4.5,0.47
2,C07-08,104,Salivary glands,0,261,0.45,0.47,0.05
3,C09-10,104,Oropharynx,0,673,1.2,1.2,0.13
4,C11,104,Nasopharynx,0,2097,3.5,3.8,0.37
5,C12-13,104,Hypopharynx,0,1368,2.3,2.5,0.28
6,C15,104,Oesophagus,0,4001,6.9,7.2,0.81
7,C16,104,Stomach,0,6670,11.8,12.1,1.4
41,C18-C21,104,Colorectum,0,5552,9.9,10.1,1.1
11,C22,104,Liver and intrahepatic bile ducts,0,6072,10.7,11.0,1.2
12,C23,104,Gallbladder,0,999,1.8,1.8,0.20
13,C25,104,Pancreas,0,754,1.3,1.4,0.16
14,C32,104,Larynx,0,1286,2.3,2.3,0.26
15,C33-34,104,"Trachea, bronchus and lung",0,8868,16.1,16.1,1.9
16,C43,104,Melanoma of skin,0,147,0.28,0.27,0.02
18,C45,104,Mesothelioma,0,12,0.02,0.02,0.00
19,C46,104,Kaposi sarcoma,0,14,0.02,0.03,0.00
20,C50,104,Breast,0,7644,23.4,26.7,2.4
21,C51,104,Vulva,0,151,0.47,0.53,0.06
22,C52,104,Vagina,0,68,0.21,0.24,0.04
23,C53,104,Cervix uteri,0,7028,21.4,24.6,2.2
24,C54,104,Corpus uteri,0,902,2.7,3.2,0.31
25,C56,104,Ovary,0,1813,5.6,6.3,0.57
26,C60,104,Penis,0,347,1.5,1.3,0.16
27,C61,104,Prostate,0,904,4.2,3.4,0.52
28,C62,104,Testis,0,153,0.52,0.57,0.04
29,C64,104,Kidney,0,555,1.0,1.0,0.11
30,C67,104,Bladder,0,1012,1.9,1.8,0.21
31,C70-72,104," Brain, central nervous system",0,1119,2.1,2.0,0.20
32,C73,104,Thyroid,0,1716,2.9,3.1,0.27
33,C81,104,Hodgkin lymphoma,0,114,0.20,0.21,0.02
34,C82-86+C88,104,Non-Hodgkin lymphoma,0,1959,3.4,3.6,0.37
35,C90,104,Multiple myeloma,0,246,0.45,0.45,0.05
36,C91-95,104,Leukaemia,0,1898,3.6,3.4,0.29
