Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,524,All cancers excl. non-melanoma skin cancer,0,21766,80.7,72.0,8.6
1,C00-06,524,"Lip, oral cavity",0,959,3.6,3.2,0.41
2,C07-08,524,Salivary glands,0,133,0.48,0.44,0.05
3,C09-10,524,Oropharynx,0,64,0.25,0.21,0.03
4,C11,524,Nasopharynx,0,35,0.12,0.12,0.01
5,C12-13,524,Hypopharynx,0,119,0.46,0.39,0.05
6,C15,524,Oesophagus,0,252,0.97,0.83,0.12
7,C16,524,Stomach,0,1720,6.5,5.7,0.79
41,C18-C21,524,Colorectum,0,1198,4.4,4.0,0.49
11,C22,524,Liver and intrahepatic bile ducts,0,558,2.1,1.9,0.26
12,C23,524,Gallbladder,0,1152,4.4,3.8,0.50
13,C25,524,Pancreas,0,362,1.4,1.2,0.16
14,C32,524,Larynx,0,458,1.8,1.5,0.22
15,C33-34,524,"Trachea, bronchus and lung",0,2431,9.3,8.0,1.1
16,C43,524,Melanoma of skin,0,45,0.18,0.15,0.02
18,C45,524,Mesothelioma,0,8,0.03,0.03,0.00
19,C46,524,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,524,Breast,0,2255,14.4,13.9,1.5
21,C51,524,Vulva,0,25,0.16,0.15,0.02
22,C52,524,Vagina,0,36,0.23,0.22,0.02
23,C53,524,Cervix uteri,0,2169,14.2,13.4,1.5
24,C54,524,Corpus uteri,0,200,1.3,1.2,0.14
25,C56,524,Ovary,0,643,4.1,4.0,0.44
26,C60,524,Penis,0,174,1.5,1.2,0.19
27,C61,524,Prostate,0,352,3.0,2.5,0.37
28,C62,524,Testis,0,26,0.18,0.19,0.02
29,C64,524,Kidney,0,139,0.53,0.46,0.06
30,C67,524,Bladder,0,451,1.7,1.5,0.20
31,C70-72,524," Brain, central nervous system",0,289,1.1,0.96,0.11
32,C73,524,Thyroid,0,710,2.5,2.4,0.25
33,C81,524,Hodgkin lymphoma,0,93,0.31,0.31,0.03
34,C82-86+C88,524,Non-Hodgkin lymphoma,0,565,2.1,1.9,0.23
35,C90,524,Multiple myeloma,0,122,0.47,0.40,0.06
36,C91-95,524,Leukaemia,0,676,2.4,2.2,0.22
