Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,540,All cancers excl. non-melanoma skin cancer,0,1123,281.5,386.0,28.5
1,C00-06,540,"Lip, oral cavity",0,18,4.5,6.2,0.55
2,C07-08,540,Salivary glands,0,2,0.43,0.69,0.03
3,C09-10,540,Oropharynx,0,9,2.3,3.1,0.30
4,C11,540,Nasopharynx,0,2,0.49,0.69,0.05
5,C12-13,540,Hypopharynx,0,2,0.45,0.69,0.04
6,C15,540,Oesophagus,0,12,2.9,4.1,0.38
7,C16,540,Stomach,0,36,8.4,12.4,0.83
41,C18-C21,540,Colorectum,0,91,22.0,31.3,2.6
11,C22,540,Liver and intrahepatic bile ducts,0,37,9.0,12.7,1.0
12,C23,540,Gallbladder,0,2,0.52,0.69,0.09
13,C25,540,Pancreas,0,27,6.5,9.3,0.74
14,C32,540,Larynx,0,10,2.6,3.4,0.37
15,C33-34,540,"Trachea, bronchus and lung",0,170,41.8,58.4,5.1
16,C43,540,Melanoma of skin,0,25,6.5,8.6,0.71
18,C45,540,Mesothelioma,0,3,0.69,1.0,0.08
19,C46,540,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,540,Breast,0,176,90.2,121.5,9.6
21,C51,540,Vulva,0,0,0.00,0.00,0.00
22,C52,540,Vagina,0,0,0.00,0.00,0.00
23,C53,540,Cervix uteri,0,27,14.2,18.6,1.3
24,C54,540,Corpus uteri,0,29,14.5,20.0,1.9
25,C56,540,Ovary,0,13,6.7,9.0,0.85
26,C60,540,Penis,0,0,0.00,0.00,0.00
27,C61,540,Prostate,0,167,84.3,114.3,10.8
28,C62,540,Testis,0,5,3.1,3.4,0.23
29,C64,540,Kidney,0,22,5.2,7.6,0.62
30,C67,540,Bladder,0,36,8.4,12.4,1.0
31,C70-72,540," Brain, central nervous system",0,13,3.3,4.5,0.38
32,C73,540,Thyroid,0,53,14.4,18.2,1.6
33,C81,540,Hodgkin lymphoma,0,1,0.30,0.34,0.03
34,C82-86+C88,540,Non-Hodgkin lymphoma,0,32,8.0,11.0,0.88
35,C90,540,Multiple myeloma,0,14,3.3,4.8,0.43
36,C91-95,540,Leukaemia,0,28,7.8,9.6,0.76
