Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,562,All cancers excl. non-melanoma skin cancer,0,11263,81.3,43.2,8.2
1,C00-06,562,"Lip, oral cavity",0,182,1.5,0.70,0.17
2,C07-08,562,Salivary glands,0,71,0.49,0.27,0.05
3,C09-10,562,Oropharynx,0,30,0.21,0.12,0.02
4,C11,562,Nasopharynx,0,43,0.35,0.16,0.03
5,C12-13,562,Hypopharynx,0,15,0.13,0.06,0.02
6,C15,562,Oesophagus,0,122,0.95,0.47,0.10
7,C16,562,Stomach,0,406,3.1,1.6,0.35
41,C18-C21,562,Colorectum,0,764,5.9,2.9,0.65
11,C22,562,Liver and intrahepatic bile ducts,0,1207,9.8,4.6,1.1
12,C23,562,Gallbladder,0,26,0.23,0.10,0.03
13,C25,562,Pancreas,0,360,3.4,1.4,0.35
14,C32,562,Larynx,0,68,0.59,0.26,0.07
15,C33-34,562,"Trachea, bronchus and lung",0,102,0.95,0.39,0.12
16,C43,562,Melanoma of skin,0,26,0.22,0.10,0.03
18,C45,562,Mesothelioma,0,2,0.01,0.01,0.00
19,C46,562,Kaposi sarcoma,0,26,0.13,0.10,0.01
20,C50,562,Breast,0,2145,29.5,16.6,2.9
21,C51,562,Vulva,0,16,0.24,0.12,0.03
22,C52,562,Vagina,0,30,0.42,0.23,0.04
23,C53,562,Cervix uteri,0,624,9.3,4.8,0.97
24,C54,562,Corpus uteri,0,152,2.5,1.2,0.31
25,C56,562,Ovary,0,551,7.7,4.3,0.80
26,C60,562,Penis,0,4,0.08,0.03,0.01
27,C61,562,Prostate,0,264,5.5,2.0,0.67
28,C62,562,Testis,0,30,0.59,0.23,0.06
29,C64,562,Kidney,0,226,1.5,0.87,0.15
30,C67,562,Bladder,0,293,2.5,1.1,0.29
31,C70-72,562," Brain, central nervous system",0,149,0.82,0.57,0.08
32,C73,562,Thyroid,0,139,1.0,0.53,0.10
33,C81,562,Hodgkin lymphoma,0,29,0.12,0.11,0.01
34,C82-86+C88,562,Non-Hodgkin lymphoma,0,361,1.8,1.4,0.15
35,C90,562,Multiple myeloma,0,14,0.10,0.05,0.01
36,C91-95,562,Leukaemia,0,343,2.2,1.3,0.23
