Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,566,All cancers excl. non-melanoma skin cancer,0,124735,111.1,57.6,11.9
1,C00-06,566,"Lip, oral cavity",0,1422,1.4,0.66,0.16
2,C07-08,566,Salivary glands,0,910,0.83,0.42,0.08
3,C09-10,566,Oropharynx,0,260,0.18,0.12,0.02
4,C11,566,Nasopharynx,0,1513,1.2,0.70,0.14
5,C12-13,566,Hypopharynx,0,92,0.07,0.04,0.01
6,C15,566,Oesophagus,0,567,0.59,0.26,0.06
7,C16,566,Stomach,0,1857,1.8,0.86,0.21
41,C18-C21,566,Colorectum,0,8114,7.5,3.7,0.89
11,C22,566,Liver and intrahepatic bile ducts,0,4382,4.2,2.0,0.45
12,C23,566,Gallbladder,0,245,0.27,0.11,0.03
13,C25,566,Pancreas,0,1344,1.3,0.62,0.15
14,C32,566,Larynx,0,838,0.79,0.39,0.10
15,C33-34,566,"Trachea, bronchus and lung",0,1675,1.7,0.77,0.20
16,C43,566,Melanoma of skin,0,492,0.52,0.23,0.05
18,C45,566,Mesothelioma,0,63,0.04,0.03,0.00
19,C46,566,Kaposi sarcoma,0,1535,1.0,0.71,0.11
20,C50,566,Breast,0,32278,51.5,30.2,5.5
21,C51,566,Vulva,0,1056,1.9,0.99,0.22
22,C52,566,Vagina,0,173,0.28,0.16,0.03
23,C53,566,Cervix uteri,0,13676,26.2,12.8,2.9
24,C54,566,Corpus uteri,0,1627,3.0,1.5,0.39
25,C56,566,Ovary,0,2906,4.2,2.7,0.43
26,C60,566,Penis,0,23,0.02,0.02,0.00
27,C61,566,Prostate,0,18019,41.2,16.4,5.0
28,C62,566,Testis,0,980,1.4,0.89,0.14
29,C64,566,Kidney,0,1640,0.93,0.76,0.09
30,C67,566,Bladder,0,1374,1.5,0.63,0.16
31,C70-72,566," Brain, central nervous system",0,1633,1.1,0.75,0.10
32,C73,566,Thyroid,0,1104,1.0,0.51,0.12
33,C81,566,Hodgkin lymphoma,0,1989,1.7,0.92,0.18
34,C82-86+C88,566,Non-Hodgkin lymphoma,0,5194,4.0,2.4,0.41
35,C90,566,Multiple myeloma,0,1023,0.98,0.47,0.10
36,C91-95,566,Leukaemia,0,2404,2.1,1.1,0.23
