Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,807,All cancers excl. non-melanoma skin cancer,0,7235,199.7,347.6,21.5
1,C00-06,807,"Lip, oral cavity",0,63,1.6,3.0,0.23
2,C07-08,807,Salivary glands,0,11,0.28,0.53,0.04
3,C09-10,807,Oropharynx,0,15,0.41,0.72,0.05
4,C11,807,Nasopharynx,0,12,0.37,0.58,0.05
5,C12-13,807,Hypopharynx,0,9,0.23,0.43,0.03
6,C15,807,Oesophagus,0,39,1.0,1.9,0.12
7,C16,807,Stomach,0,370,9.5,17.8,1.2
41,C18-C21,807,Colorectum,0,900,23.5,43.2,2.9
11,C22,807,Liver and intrahepatic bile ducts,0,213,5.4,10.2,0.67
12,C23,807,Gallbladder,0,36,0.86,1.7,0.12
13,C25,807,Pancreas,0,253,6.5,12.2,0.84
14,C32,807,Larynx,0,120,3.4,5.8,0.41
15,C33-34,807,"Trachea, bronchus and lung",0,1150,31.1,55.3,3.9
16,C43,807,Melanoma of skin,0,189,4.9,9.1,0.58
18,C45,807,Mesothelioma,0,2,0.05,0.10,0.01
19,C46,807,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,807,Breast,0,1103,65.6,106.0,7.1
21,C51,807,Vulva,0,8,0.33,0.77,0.05
22,C52,807,Vagina,0,4,0.22,0.38,0.03
23,C53,807,Cervix uteri,0,107,6.7,10.3,0.73
24,C54,807,Corpus uteri,0,298,17.5,28.6,2.0
25,C56,807,Ovary,0,106,6.4,10.2,0.69
26,C60,807,Penis,0,12,0.57,1.2,0.07
27,C61,807,Prostate,0,790,41.4,75.9,5.3
28,C62,807,Testis,0,77,7.0,7.4,0.51
29,C64,807,Kidney,0,100,2.9,4.8,0.35
30,C67,807,Bladder,0,283,7.4,13.6,0.97
31,C70-72,807," Brain, central nervous system",0,261,7.3,12.5,0.89
32,C73,807,Thyroid,0,50,1.4,2.4,0.19
33,C81,807,Hodgkin lymphoma,0,53,2.1,2.6,0.20
34,C82-86+C88,807,Non-Hodgkin lymphoma,0,82,2.3,3.9,0.29
35,C90,807,Multiple myeloma,0,27,0.70,1.3,0.09
36,C91-95,807,Leukaemia,0,130,4.0,6.3,0.41
