Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,586,All cancers excl. non-melanoma skin cancer,0,180938,102.7,78.8,10.7
1,C00-06,586,"Lip, oral cavity",0,15915,9.2,6.9,1.0
2,C07-08,586,Salivary glands,0,946,0.51,0.41,0.06
3,C09-10,586,Oropharynx,0,1065,0.62,0.46,0.06
4,C11,586,Nasopharynx,0,808,0.41,0.35,0.04
5,C12-13,586,Hypopharynx,0,1931,1.1,0.84,0.13
6,C15,586,Oesophagus,0,9289,5.5,4.1,0.62
7,C16,586,Stomach,0,5968,3.5,2.6,0.38
41,C18-C21,586,Colorectum,0,9447,5.4,4.1,0.59
11,C22,586,Liver and intrahepatic bile ducts,0,6121,3.8,2.7,0.44
12,C23,586,Gallbladder,0,2841,1.8,1.2,0.21
13,C25,586,Pancreas,0,1116,0.69,0.49,0.08
14,C32,586,Larynx,0,3987,2.4,1.7,0.29
15,C33-34,586,"Trachea, bronchus and lung",0,9464,6.0,4.1,0.69
16,C43,586,Melanoma of skin,0,517,0.31,0.23,0.03
18,C45,586,Mesothelioma,0,43,0.03,0.02,0.00
19,C46,586,Kaposi sarcoma,0,78,0.04,0.03,0.01
20,C50,586,Breast,0,30682,34.2,27.5,3.7
21,C51,586,Vulva,0,252,0.30,0.23,0.04
22,C52,586,Vagina,0,252,0.29,0.23,0.03
23,C53,586,Cervix uteri,0,4762,5.4,4.3,0.60
24,C54,586,Corpus uteri,0,3037,3.8,2.7,0.47
25,C56,586,Ovary,0,4987,5.6,4.5,0.61
26,C60,586,Penis,0,318,0.34,0.27,0.04
27,C61,586,Prostate,0,5198,6.7,4.4,0.84
28,C62,586,Testis,0,860,0.70,0.73,0.05
29,C64,586,Kidney,0,2902,1.7,1.3,0.18
30,C67,586,Bladder,0,5391,3.4,2.4,0.40
31,C70-72,586," Brain, central nervous system",0,5342,2.7,2.3,0.26
32,C73,586,Thyroid,0,3135,1.6,1.4,0.16
33,C81,586,Hodgkin lymphoma,0,1870,0.86,0.81,0.08
34,C82-86+C88,586,Non-Hodgkin lymphoma,0,7296,4.1,3.2,0.45
35,C90,586,Multiple myeloma,0,1846,1.1,0.80,0.14
36,C91-95,586,Leukaemia,0,7722,3.5,3.4,0.27
