Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,598,All cancers excl. non-melanoma skin cancer,0,11491,175.1,123.7,17.5
1,C00-06,598,"Lip, oral cavity",0,1152,17.5,12.4,2.0
2,C07-08,598,Salivary glands,0,55,0.64,0.59,0.05
3,C09-10,598,Oropharynx,0,97,1.5,1.0,0.21
4,C11,598,Nasopharynx,0,15,0.20,0.16,0.02
5,C12-13,598,Hypopharynx,0,14,0.23,0.15,0.02
6,C15,598,Oesophagus,0,208,3.7,2.2,0.36
7,C16,598,Stomach,0,450,8.1,4.8,0.88
41,C18-C21,598,Colorectum,0,646,11.7,7.0,1.3
11,C22,598,Liver and intrahepatic bile ducts,0,745,12.0,8.0,1.4
12,C23,598,Gallbladder,0,70,1.4,0.75,0.14
13,C25,598,Pancreas,0,94,1.7,1.0,0.18
14,C32,598,Larynx,0,121,2.1,1.3,0.22
15,C33-34,598,"Trachea, bronchus and lung",0,621,10.7,6.7,1.3
16,C43,598,Melanoma of skin,0,210,3.3,2.3,0.34
18,C45,598,Mesothelioma,0,7,0.11,0.08,0.01
19,C46,598,Kaposi sarcoma,0,8,0.09,0.09,0.00
20,C50,598,Breast,0,1663,46.0,36.6,4.9
21,C51,598,Vulva,0,17,0.44,0.37,0.05
22,C52,598,Vagina,0,19,0.56,0.42,0.06
23,C53,598,Cervix uteri,0,1053,27.8,23.2,2.7
24,C54,598,Corpus uteri,0,332,9.9,7.3,1.2
25,C56,598,Ovary,0,272,7.3,6.0,0.75
26,C60,598,Penis,0,44,2.4,0.93,0.07
27,C61,598,Prostate,0,798,28.3,16.8,3.5
28,C62,598,Testis,0,50,1.1,1.1,0.08
29,C64,598,Kidney,0,63,1.1,0.68,0.12
30,C67,598,Bladder,0,135,2.4,1.5,0.30
31,C70-72,598," Brain, central nervous system",0,74,1.1,0.80,0.12
32,C73,598,Thyroid,0,498,6.9,5.4,0.73
33,C81,598,Hodgkin lymphoma,0,45,0.45,0.48,0.03
34,C82-86+C88,598,Non-Hodgkin lymphoma,0,474,6.6,5.1,0.66
35,C90,598,Multiple myeloma,0,47,0.79,0.51,0.08
36,C91-95,598,Leukaemia,0,344,4.4,3.7,0.41
