Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,608,All cancers excl. non-melanoma skin cancer,0,187806,184.2,166.9,19.0
1,C00-06,608,"Lip, oral cavity",0,1916,1.9,1.7,0.23
2,C07-08,608,Salivary glands,0,690,0.67,0.61,0.08
3,C09-10,608,Oropharynx,0,560,0.56,0.50,0.07
4,C11,608,Nasopharynx,0,3684,3.5,3.3,0.39
5,C12-13,608,Hypopharynx,0,226,0.23,0.20,0.03
6,C15,608,Oesophagus,0,1401,1.4,1.3,0.17
7,C16,608,Stomach,0,4155,4.2,3.7,0.50
41,C18-C21,608,Colorectum,0,20736,20.8,18.4,2.5
11,C22,608,Liver and intrahepatic bile ducts,0,12544,12.4,11.2,1.5
12,C23,608,Gallbladder,0,351,0.35,0.31,0.04
13,C25,608,Pancreas,0,4045,4.1,3.6,0.48
14,C32,608,Larynx,0,1932,2.0,1.7,0.25
15,C33-34,608,"Trachea, bronchus and lung",0,23728,24.0,21.1,2.9
16,C43,608,Melanoma of skin,0,508,0.50,0.45,0.06
18,C45,608,Mesothelioma,0,68,0.07,0.06,0.01
19,C46,608,Kaposi sarcoma,0,13,0.01,0.01,0.00
20,C50,608,Breast,0,33079,60.3,59.0,6.5
21,C51,608,Vulva,0,190,0.35,0.34,0.04
22,C52,608,Vagina,0,121,0.22,0.22,0.02
23,C53,608,Cervix uteri,0,8549,15.5,15.3,1.7
24,C54,608,Corpus uteri,0,5356,9.9,9.6,1.2
25,C56,608,Ovary,0,6453,11.7,11.5,1.3
26,C60,608,Penis,0,157,0.32,0.28,0.04
27,C61,608,Prostate,0,9764,24.1,17.3,2.8
28,C62,608,Testis,0,422,0.77,0.75,0.07
29,C64,608,Kidney,0,2916,2.9,2.6,0.33
30,C67,608,Bladder,0,2094,2.1,1.9,0.26
31,C70-72,608," Brain, central nervous system",0,2480,2.4,2.2,0.23
32,C73,608,Thyroid,0,7771,7.3,6.9,0.77
33,C81,608,Hodgkin lymphoma,0,602,0.54,0.54,0.05
34,C82-86+C88,608,Non-Hodgkin lymphoma,0,4989,4.9,4.4,0.53
35,C90,608,Multiple myeloma,0,932,0.93,0.83,0.11
36,C91-95,608,Leukaemia,0,7026,6.6,6.2,0.58
