Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,642,All cancers excl. non-melanoma skin cancer,0,100471,267.8,527.9,27.4
1,C00-06,642,"Lip, oral cavity",0,2007,5.6,10.6,0.68
2,C07-08,642,Salivary glands,0,157,0.43,0.82,0.05
3,C09-10,642,Oropharynx,0,1569,4.9,8.2,0.58
4,C11,642,Nasopharynx,0,358,1.3,1.9,0.13
5,C12-13,642,Hypopharynx,0,770,2.4,4.1,0.28
6,C15,642,Oesophagus,0,764,2.1,4.0,0.26
7,C16,642,Stomach,0,3823,8.9,20.1,1.1
41,C18-C21,642,Colorectum,0,13541,32.2,71.2,3.9
11,C22,642,Liver and intrahepatic bile ducts,0,3682,8.9,19.4,1.1
12,C23,642,Gallbladder,0,225,0.49,1.2,0.06
13,C25,642,Pancreas,0,3389,7.9,17.8,0.96
14,C32,642,Larynx,0,1804,5.1,9.5,0.63
15,C33-34,642,"Trachea, bronchus and lung",0,11716,30.3,61.6,3.7
16,C43,642,Melanoma of skin,0,2247,6.6,11.8,0.71
18,C45,642,Mesothelioma,0,65,0.18,0.34,0.02
19,C46,642,Kaposi sarcoma,0,58,0.16,0.30,0.02
20,C50,642,Breast,0,12861,70.2,131.5,7.7
21,C51,642,Vulva,0,472,1.8,4.8,0.22
22,C52,642,Vagina,0,68,0.31,0.70,0.04
23,C53,642,Cervix uteri,0,3368,21.7,34.4,2.3
24,C54,642,Corpus uteri,0,2282,11.8,23.3,1.5
25,C56,642,Ovary,0,1788,9.6,18.3,1.1
26,C60,642,Penis,0,183,1.1,2.0,0.13
27,C61,642,Prostate,0,10442,53.9,112.9,7.3
28,C62,642,Testis,0,345,3.8,3.7,0.28
29,C64,642,Kidney,0,2649,7.5,13.9,0.88
30,C67,642,Bladder,0,5157,11.8,27.1,1.5
31,C70-72,642," Brain, central nervous system",0,2119,6.5,11.1,0.69
32,C73,642,Thyroid,0,1736,6.2,9.1,0.65
33,C81,642,Hodgkin lymphoma,0,318,1.6,1.7,0.13
34,C82-86+C88,642,Non-Hodgkin lymphoma,0,1754,5.6,9.2,0.60
35,C90,642,Multiple myeloma,0,725,1.9,3.8,0.24
36,C91-95,642,Leukaemia,0,1975,6.1,10.4,0.61
