Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,643,All cancers excl. non-melanoma skin cancer,0,614275,240.9,421.3,25.5
1,C00-06,643,"Lip, oral cavity",0,9729,3.9,6.7,0.47
2,C07-08,643,Salivary glands,0,1421,0.58,0.97,0.07
3,C09-10,643,Oropharynx,0,4437,1.9,3.0,0.23
4,C11,643,Nasopharynx,0,581,0.27,0.40,0.03
5,C12-13,643,Hypopharynx,0,2809,1.2,1.9,0.15
6,C15,643,Oesophagus,0,9345,3.5,6.4,0.45
7,C16,643,Stomach,0,38883,13.7,26.7,1.7
41,C18-C21,643,Colorectum,0,83693,29.4,57.4,3.7
11,C22,643,Liver and intrahepatic bile ducts,0,11748,4.3,8.1,0.51
12,C23,643,Gallbladder,0,2137,0.68,1.5,0.08
13,C25,643,Pancreas,0,21842,7.8,15.0,0.99
14,C32,643,Larynx,0,7172,2.9,4.9,0.37
15,C33-34,643,"Trachea, bronchus and lung",0,70362,26.0,48.3,3.5
16,C43,643,Melanoma of skin,0,12903,5.3,8.9,0.60
18,C45,643,Mesothelioma,0,1784,0.66,1.2,0.08
19,C46,643,Kaposi sarcoma,0,462,0.18,0.32,0.02
20,C50,643,Breast,0,79455,58.1,101.6,6.5
21,C51,643,Vulva,0,2104,1.1,2.7,0.14
22,C52,643,Vagina,0,533,0.35,0.68,0.04
23,C53,643,Cervix uteri,0,18369,17.6,23.5,1.7
24,C54,643,Corpus uteri,0,29852,20.6,38.2,2.6
25,C56,643,Ovary,0,14606,11.5,18.7,1.3
26,C60,643,Penis,0,785,0.76,1.2,0.09
27,C61,643,Prostate,0,52712,47.4,78.0,6.5
28,C62,643,Testis,0,1633,2.1,2.4,0.17
29,C64,643,Kidney,0,29109,11.8,20.0,1.4
30,C67,643,Bladder,0,19352,6.9,13.3,0.90
31,C70-72,643," Brain, central nervous system",0,10892,5.3,7.5,0.53
32,C73,643,Thyroid,0,16145,8.0,11.1,0.82
33,C81,643,Hodgkin lymphoma,0,3015,2.0,2.1,0.16
34,C82-86+C88,643,Non-Hodgkin lymphoma,0,12070,5.2,8.3,0.58
35,C90,643,Multiple myeloma,0,4872,1.9,3.3,0.25
36,C91-95,643,Leukaemia,0,14495,6.9,9.9,0.68
