Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,688,All cancers excl. non-melanoma skin cancer,0,40596,244.3,469.2,25.1
1,C00-06,688,"Lip, oral cavity",0,705,3.8,8.2,0.44
2,C07-08,688,Salivary glands,0,87,0.45,1.0,0.05
3,C09-10,688,Oropharynx,0,157,1.1,1.8,0.13
4,C11,688,Nasopharynx,0,49,0.33,0.57,0.04
5,C12-13,688,Hypopharynx,0,182,1.2,2.1,0.16
6,C15,688,Oesophagus,0,254,1.5,2.9,0.19
7,C16,688,Stomach,0,1303,7.1,15.1,0.83
41,C18-C21,688,Colorectum,0,5489,30.2,63.4,3.6
11,C22,688,Liver and intrahepatic bile ducts,0,839,4.5,9.7,0.53
12,C23,688,Gallbladder,0,202,1.1,2.3,0.13
13,C25,688,Pancreas,0,1433,7.6,16.6,0.91
14,C32,688,Larynx,0,637,4.1,7.4,0.49
15,C33-34,688,"Trachea, bronchus and lung",0,6879,40.4,79.5,5.1
16,C43,688,Melanoma of skin,0,901,5.9,10.4,0.65
18,C45,688,Mesothelioma,0,47,0.25,0.54,0.03
19,C46,688,Kaposi sarcoma,0,16,0.13,0.18,0.01
20,C50,688,Breast,0,5026,61.8,113.8,6.9
21,C51,688,Vulva,0,136,1.3,3.1,0.16
22,C52,688,Vagina,0,36,0.36,0.82,0.04
23,C53,688,Cervix uteri,0,906,13.4,20.5,1.4
24,C54,688,Corpus uteri,0,1182,14.4,26.8,1.7
25,C56,688,Ovary,0,738,9.3,16.7,1.0
26,C60,688,Penis,0,63,0.76,1.5,0.09
27,C61,688,Prostate,0,3398,37.0,80.2,4.9
28,C62,688,Testis,0,359,8.1,8.5,0.61
29,C64,688,Kidney,0,973,6.5,11.2,0.73
30,C67,688,Bladder,0,2299,12.5,26.6,1.6
31,C70-72,688," Brain, central nervous system",0,849,5.9,9.8,0.61
32,C73,688,Thyroid,0,478,3.5,5.5,0.40
33,C81,688,Hodgkin lymphoma,0,184,1.8,2.1,0.15
34,C82-86+C88,688,Non-Hodgkin lymphoma,0,956,6.1,11.1,0.68
35,C90,688,Multiple myeloma,0,393,2.3,4.5,0.30
36,C91-95,688,Leukaemia,0,902,7.2,10.4,0.65
