Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,702,All cancers excl. non-melanoma skin cancer,0,24801,227.3,417.3,22.6
1,C00-06,702,"Lip, oral cavity",0,254,2.3,4.3,0.27
2,C07-08,702,Salivary glands,0,70,0.68,1.2,0.07
3,C09-10,702,Oropharynx,0,70,0.61,1.2,0.07
4,C11,702,Nasopharynx,0,540,5.4,9.1,0.60
5,C12-13,702,Hypopharynx,0,47,0.39,0.79,0.05
6,C15,702,Oesophagus,0,234,1.9,3.9,0.24
7,C16,702,Stomach,0,955,8.0,16.1,0.87
41,C18-C21,702,Colorectum,0,4007,34.0,67.4,3.9
11,C22,702,Liver and intrahepatic bile ducts,0,1442,12.1,24.3,1.4
12,C23,702,Gallbladder,0,155,1.3,2.6,0.14
13,C25,702,Pancreas,0,923,7.7,15.5,0.91
14,C32,702,Larynx,0,176,1.5,3.0,0.18
15,C33-34,702,"Trachea, bronchus and lung",0,2940,24.3,49.5,2.8
16,C43,702,Melanoma of skin,0,57,0.54,0.96,0.06
18,C45,702,Mesothelioma,0,45,0.36,0.76,0.05
19,C46,702,Kaposi sarcoma,0,5,0.06,0.08,0.01
20,C50,702,Breast,0,3569,72.6,126.0,7.8
21,C51,702,Vulva,0,38,0.63,1.3,0.07
22,C52,702,Vagina,0,22,0.38,0.78,0.05
23,C53,702,Cervix uteri,0,353,7.4,12.5,0.78
24,C54,702,Corpus uteri,0,859,17.6,30.3,2.0
25,C56,702,Ovary,0,479,10.3,16.9,1.1
26,C60,702,Penis,0,26,0.45,0.84,0.05
27,C61,702,Prostate,0,2020,32.8,64.9,4.2
28,C62,702,Testis,0,67,2.2,2.2,0.16
29,C64,702,Kidney,0,753,7.0,12.7,0.81
30,C67,702,Bladder,0,465,3.9,7.8,0.45
31,C70-72,702," Brain, central nervous system",0,225,2.8,3.8,0.26
32,C73,702,Thyroid,0,640,7.1,10.8,0.71
33,C81,702,Hodgkin lymphoma,0,75,1.3,1.3,0.10
34,C82-86+C88,702,Non-Hodgkin lymphoma,0,1150,11.3,19.4,1.2
35,C90,702,Multiple myeloma,0,266,2.2,4.5,0.28
36,C91-95,702,Leukaemia,0,663,8.8,11.2,0.75
