Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,144,All cancers excl. non-melanoma skin cancer,0,32829,105.6,152.2,11.3
1,C00-06,144,"Lip, oral cavity",0,2556,8.1,11.9,0.95
2,C07-08,144,Salivary glands,0,196,0.67,0.91,0.07
3,C09-10,144,Oropharynx,0,469,1.5,2.2,0.18
4,C11,144,Nasopharynx,0,69,0.22,0.32,0.02
5,C12-13,144,Hypopharynx,0,433,1.4,2.0,0.16
6,C15,144,Oesophagus,0,1884,5.4,8.7,0.64
7,C16,144,Stomach,0,856,2.6,4.0,0.30
41,C18-C21,144,Colorectum,0,2540,7.8,11.8,0.93
11,C22,144,Liver and intrahepatic bile ducts,0,402,1.2,1.9,0.14
12,C23,144,Gallbladder,0,107,0.33,0.50,0.04
13,C25,144,Pancreas,0,275,0.83,1.3,0.10
14,C32,144,Larynx,0,799,2.5,3.7,0.32
15,C33-34,144,"Trachea, bronchus and lung",0,2229,6.7,10.3,0.81
16,C43,144,Melanoma of skin,0,100,0.33,0.46,0.04
18,C45,144,Mesothelioma,0,6,0.02,0.03,0.00
19,C46,144,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,144,Breast,0,4555,27.7,40.5,3.1
21,C51,144,Vulva,0,59,0.25,0.52,0.02
22,C52,144,Vagina,0,56,0.35,0.50,0.04
23,C53,144,Cervix uteri,0,1579,9.2,14.0,1.1
24,C54,144,Corpus uteri,0,755,4.3,6.7,0.54
25,C56,144,Ovary,0,1299,8.2,11.6,0.91
26,C60,144,Penis,0,103,0.69,1.0,0.08
27,C61,144,Prostate,0,1019,6.5,9.9,0.79
28,C62,144,Testis,0,81,0.73,0.78,0.06
29,C64,144,Kidney,0,365,1.2,1.7,0.14
30,C67,144,Bladder,0,681,1.9,3.2,0.24
31,C70-72,144," Brain, central nervous system",0,491,1.8,2.3,0.17
32,C73,144,Thyroid,0,1706,6.7,7.9,0.62
33,C81,144,Hodgkin lymphoma,0,224,0.92,1.0,0.08
34,C82-86+C88,144,Non-Hodgkin lymphoma,0,1022,3.3,4.7,0.37
35,C90,144,Multiple myeloma,0,523,1.5,2.4,0.19
36,C91-95,144,Leukaemia,0,1001,3.9,4.6,0.36
