Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,729,All cancers excl. non-melanoma skin cancer,0,28076,93.9,61.1,9.7
1,C00-06,729,"Lip, oral cavity",0,567,1.9,1.2,0.20
2,C07-08,729,Salivary glands,0,113,0.42,0.25,0.04
3,C09-10,729,Oropharynx,0,38,0.13,0.08,0.01
4,C11,729,Nasopharynx,0,539,1.8,1.2,0.18
5,C12-13,729,Hypopharynx,0,84,0.29,0.18,0.03
6,C15,729,Oesophagus,0,806,2.9,1.8,0.35
7,C16,729,Stomach,0,642,2.4,1.4,0.25
41,C18-C21,729,Colorectum,0,1704,5.5,3.7,0.55
11,C22,729,Liver and intrahepatic bile ducts,0,1228,4.4,2.7,0.50
12,C23,729,Gallbladder,0,263,1.0,0.57,0.12
13,C25,729,Pancreas,0,288,1.1,0.63,0.12
14,C32,729,Larynx,0,302,1.1,0.66,0.13
15,C33-34,729,"Trachea, bronchus and lung",0,673,2.5,1.5,0.28
16,C43,729,Melanoma of skin,0,156,0.59,0.34,0.07
18,C45,729,Mesothelioma,0,1,0.00,0.00,0.00
19,C46,729,Kaposi sarcoma,0,75,0.28,0.16,0.03
20,C50,729,Breast,0,6631,39.9,28.8,4.0
21,C51,729,Vulva,0,157,1.2,0.68,0.16
22,C52,729,Vagina,0,49,0.31,0.21,0.04
23,C53,729,Cervix uteri,0,1234,8.6,5.4,1.0
24,C54,729,Corpus uteri,0,359,2.6,1.6,0.35
25,C56,729,Ovary,0,1003,6.4,4.4,0.74
26,C60,729,Penis,0,20,0.18,0.09,0.03
27,C61,729,Prostate,0,1404,11.9,6.1,1.4
28,C62,729,Testis,0,108,0.66,0.47,0.06
29,C64,729,Kidney,0,605,1.9,1.3,0.20
30,C67,729,Bladder,0,591,2.2,1.3,0.25
31,C70-72,729," Brain, central nervous system",0,483,1.4,1.1,0.14
32,C73,729,Thyroid,0,728,2.6,1.6,0.29
33,C81,729,Hodgkin lymphoma,0,320,0.86,0.70,0.08
34,C82-86+C88,729,Non-Hodgkin lymphoma,0,1529,4.9,3.3,0.52
35,C90,729,Multiple myeloma,0,295,1.1,0.64,0.12
36,C91-95,729,Leukaemia,0,1283,4.0,2.8,0.41
