Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,760,All cancers excl. non-melanoma skin cancer,0,21505,135.7,111.1,13.5
1,C00-06,760,"Lip, oral cavity",0,195,1.3,1.0,0.15
2,C07-08,760,Salivary glands,0,83,0.53,0.43,0.06
3,C09-10,760,Oropharynx,0,16,0.11,0.08,0.02
4,C11,760,Nasopharynx,0,126,0.71,0.65,0.05
5,C12-13,760,Hypopharynx,0,7,0.04,0.04,0.00
6,C15,760,Oesophagus,0,106,0.69,0.55,0.06
7,C16,760,Stomach,0,721,4.8,3.7,0.50
41,C18-C21,760,Colorectum,0,1626,10.9,8.4,1.1
11,C22,760,Liver and intrahepatic bile ducts,0,408,2.8,2.1,0.29
12,C23,760,Gallbladder,0,132,0.93,0.68,0.10
13,C25,760,Pancreas,0,619,4.2,3.2,0.47
14,C32,760,Larynx,0,427,2.9,2.2,0.34
15,C33-34,760,"Trachea, bronchus and lung",0,2638,17.8,13.6,2.1
16,C43,760,Melanoma of skin,0,130,0.83,0.67,0.07
18,C45,760,Mesothelioma,0,27,0.19,0.14,0.03
19,C46,760,Kaposi sarcoma,0,24,0.15,0.12,0.02
20,C50,760,Breast,0,4114,46.2,42.5,5.0
21,C51,760,Vulva,0,45,0.56,0.46,0.07
22,C52,760,Vagina,0,14,0.17,0.14,0.02
23,C53,760,Cervix uteri,0,206,2.5,2.1,0.30
24,C54,760,Corpus uteri,0,704,8.2,7.3,0.94
25,C56,760,Ovary,0,462,5.1,4.8,0.53
26,C60,760,Penis,0,5,0.08,0.05,0.01
27,C61,760,Prostate,0,1115,17.6,11.5,1.7
28,C62,760,Testis,0,201,2.0,2.1,0.17
29,C64,760,Kidney,0,447,2.9,2.3,0.31
30,C67,760,Bladder,0,721,4.9,3.7,0.53
31,C70-72,760," Brain, central nervous system",0,1028,6.3,5.3,0.64
32,C73,760,Thyroid,0,837,4.4,4.3,0.40
33,C81,760,Hodgkin lymphoma,0,301,1.9,1.6,0.19
34,C82-86+C88,760,Non-Hodgkin lymphoma,0,914,5.5,4.7,0.49
35,C90,760,Multiple myeloma,0,346,2.4,1.8,0.30
36,C91-95,760,Leukaemia,0,1388,8.4,7.2,0.83
