Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,762,All cancers excl. non-melanoma skin cancer,0,6366,90.0,63.9,9.2
1,C00-06,762,"Lip, oral cavity",0,81,1.3,0.81,0.15
2,C07-08,762,Salivary glands,0,6,0.11,0.06,0.01
3,C09-10,762,Oropharynx,0,23,0.39,0.23,0.04
4,C11,762,Nasopharynx,0,17,0.21,0.17,0.02
5,C12-13,762,Hypopharynx,0,18,0.27,0.18,0.03
6,C15,762,Oesophagus,0,131,2.3,1.3,0.24
7,C16,762,Stomach,0,1195,19.4,12.0,2.2
41,C18-C21,762,Colorectum,0,365,5.6,3.7,0.59
11,C22,762,Liver and intrahepatic bile ducts,0,281,4.6,2.8,0.49
12,C23,762,Gallbladder,0,19,0.36,0.19,0.04
13,C25,762,Pancreas,0,79,1.3,0.79,0.12
14,C32,762,Larynx,0,20,0.31,0.20,0.03
15,C33-34,762,"Trachea, bronchus and lung",0,346,5.4,3.5,0.63
16,C43,762,Melanoma of skin,0,26,0.42,0.26,0.05
18,C45,762,Mesothelioma,0,2,0.02,0.02,0.00
19,C46,762,Kaposi sarcoma,0,3,0.04,0.03,0.00
20,C50,762,Breast,0,818,19.5,16.6,2.0
21,C51,762,Vulva,0,9,0.30,0.18,0.03
22,C52,762,Vagina,0,1,0.02,0.02,0.00
23,C53,762,Cervix uteri,0,277,6.6,5.6,0.66
24,C54,762,Corpus uteri,0,234,6.0,4.7,0.67
25,C56,762,Ovary,0,77,1.8,1.6,0.19
26,C60,762,Penis,0,0,0.00,0.00,0.00
27,C61,762,Prostate,0,108,3.9,2.2,0.51
28,C62,762,Testis,0,22,0.43,0.44,0.03
29,C64,762,Kidney,0,150,2.0,1.5,0.21
30,C67,762,Bladder,0,69,1.0,0.69,0.12
31,C70-72,762," Brain, central nervous system",0,371,4.5,3.7,0.43
32,C73,762,Thyroid,0,25,0.34,0.25,0.04
33,C81,762,Hodgkin lymphoma,0,28,0.32,0.28,0.03
34,C82-86+C88,762,Non-Hodgkin lymphoma,0,189,2.3,1.9,0.23
35,C90,762,Multiple myeloma,0,13,0.22,0.13,0.02
36,C91-95,762,Leukaemia,0,188,2.1,1.9,0.19
