Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,528,All cancers excl. non-melanoma skin cancer,0,116224,312.4,675.3,30.8
1,C00-06,528,"Lip, oral cavity",0,1568,4.1,9.1,0.49
2,C07-08,528,Salivary glands,0,194,0.56,1.1,0.06
3,C09-10,528,Oropharynx,0,432,1.2,2.5,0.16
4,C11,528,Nasopharynx,0,82,0.31,0.48,0.03
5,C12-13,528,Hypopharynx,0,227,0.59,1.3,0.08
6,C15,528,Oesophagus,0,2736,6.7,15.9,0.85
7,C16,528,Stomach,0,1845,4.3,10.7,0.51
41,C18-C21,528,Colorectum,0,17670,42.8,102.7,5.2
11,C22,528,Liver and intrahepatic bile ducts,0,1594,3.4,9.3,0.38
12,C23,528,Gallbladder,0,190,0.40,1.1,0.05
13,C25,528,Pancreas,0,3490,8.1,20.3,1.0
14,C32,528,Larynx,0,660,1.7,3.8,0.22
15,C33-34,528,"Trachea, bronchus and lung",0,14806,34.9,86.0,4.4
16,C43,528,Melanoma of skin,0,8221,25.9,47.8,2.8
18,C45,528,Mesothelioma,0,669,1.4,3.9,0.17
19,C46,528,Kaposi sarcoma,0,37,0.13,0.21,0.01
20,C50,528,Breast,0,16056,102.3,186.0,10.8
21,C51,528,Vulva,0,537,2.6,6.2,0.29
22,C52,528,Vagina,0,60,0.30,0.70,0.03
23,C53,528,Cervix uteri,0,756,6.7,8.8,0.61
24,C54,528,Corpus uteri,0,2216,11.0,25.7,1.4
25,C56,528,Ovary,0,1461,8.1,16.9,0.91
26,C60,528,Penis,0,181,0.86,2.1,0.10
27,C61,528,Prostate,0,11956,57.0,139.3,7.6
28,C62,528,Testis,0,805,9.7,9.4,0.74
29,C64,528,Kidney,0,2978,8.3,17.3,0.97
30,C67,528,Bladder,0,7835,17.4,45.5,2.1
31,C70-72,528," Brain, central nervous system",0,1394,5.1,8.1,0.51
32,C73,528,Thyroid,0,1021,4.1,5.9,0.40
33,C81,528,Hodgkin lymphoma,0,495,2.6,2.9,0.21
34,C82-86+C88,528,Non-Hodgkin lymphoma,0,4381,12.0,25.5,1.3
35,C90,528,Multiple myeloma,0,1607,3.8,9.3,0.47
36,C91-95,528,Leukaemia,0,3136,9.9,18.2,1.0
