Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,768,All cancers excl. non-melanoma skin cancer,0,5292,104.0,61.0,10.9
1,C00-06,768,"Lip, oral cavity",0,65,1.3,0.75,0.14
2,C07-08,768,Salivary glands,0,77,1.5,0.89,0.18
3,C09-10,768,Oropharynx,0,39,0.80,0.45,0.10
4,C11,768,Nasopharynx,0,39,0.68,0.45,0.08
5,C12-13,768,Hypopharynx,0,3,0.06,0.03,0.01
6,C15,768,Oesophagus,0,164,3.8,1.9,0.44
7,C16,768,Stomach,0,242,5.4,2.8,0.58
41,C18-C21,768,Colorectum,0,354,7.5,4.1,0.84
11,C22,768,Liver and intrahepatic bile ducts,0,220,4.3,2.5,0.46
12,C23,768,Gallbladder,0,27,0.50,0.31,0.05
13,C25,768,Pancreas,0,62,1.5,0.71,0.16
14,C32,768,Larynx,0,55,1.2,0.63,0.14
15,C33-34,768,"Trachea, bronchus and lung",0,84,1.9,0.97,0.17
16,C43,768,Melanoma of skin,0,45,1.3,0.52,0.11
18,C45,768,Mesothelioma,0,1,0.03,0.01,0.01
19,C46,768,Kaposi sarcoma,0,94,1.4,1.1,0.12
20,C50,768,Breast,0,973,32.9,22.3,3.5
21,C51,768,Vulva,0,18,0.74,0.41,0.06
22,C52,768,Vagina,0,17,0.68,0.39,0.08
23,C53,768,Cervix uteri,0,511,19.1,11.7,2.2
24,C54,768,Corpus uteri,0,128,5.6,2.9,0.70
25,C56,768,Ovary,0,114,4.1,2.6,0.45
26,C60,768,Penis,0,3,0.29,0.07,0.00
27,C61,768,Prostate,0,577,31.3,13.4,3.9
28,C62,768,Testis,0,13,0.38,0.30,0.04
29,C64,768,Kidney,0,78,1.3,0.90,0.16
30,C67,768,Bladder,0,56,1.3,0.65,0.14
31,C70-72,768," Brain, central nervous system",0,48,0.79,0.55,0.09
32,C73,768,Thyroid,0,52,0.99,0.60,0.09
33,C81,768,Hodgkin lymphoma,0,62,1.0,0.71,0.07
34,C82-86+C88,768,Non-Hodgkin lymphoma,0,245,3.8,2.8,0.39
35,C90,768,Multiple myeloma,0,34,0.71,0.39,0.09
36,C91-95,768,Leukaemia,0,129,2.1,1.5,0.19
