Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,780,All cancers excl. non-melanoma skin cancer,0,3918,186.1,278.6,18.4
1,C00-06,780,"Lip, oral cavity",0,43,2.0,3.1,0.23
2,C07-08,780,Salivary glands,0,7,0.41,0.50,0.04
3,C09-10,780,Oropharynx,0,15,0.79,1.1,0.08
4,C11,780,Nasopharynx,0,6,0.28,0.43,0.02
5,C12-13,780,Hypopharynx,0,7,0.30,0.50,0.03
6,C15,780,Oesophagus,0,30,1.3,2.1,0.17
7,C16,780,Stomach,0,94,4.0,6.7,0.43
41,C18-C21,780,Colorectum,0,418,18.5,29.7,2.0
11,C22,780,Liver and intrahepatic bile ducts,0,65,2.8,4.6,0.35
12,C23,780,Gallbladder,0,18,0.76,1.3,0.05
13,C25,780,Pancreas,0,111,4.7,7.9,0.51
14,C32,780,Larynx,0,29,1.3,2.1,0.13
15,C33-34,780,"Trachea, bronchus and lung",0,264,11.7,18.8,1.4
16,C43,780,Melanoma of skin,0,6,0.30,0.43,0.04
18,C45,780,Mesothelioma,0,2,0.08,0.14,0.02
19,C46,780,Kaposi sarcoma,0,6,0.35,0.43,0.03
20,C50,780,Breast,0,570,54.0,80.0,5.6
21,C51,780,Vulva,0,8,0.61,1.1,0.07
22,C52,780,Vagina,0,6,0.52,0.84,0.07
23,C53,780,Cervix uteri,0,192,18.3,26.9,1.9
24,C54,780,Corpus uteri,0,217,18.8,30.5,2.3
25,C56,780,Ovary,0,117,11.1,16.4,1.2
26,C60,780,Penis,0,9,0.90,1.3,0.10
27,C61,780,Prostate,0,775,73.6,111.7,8.4
28,C62,780,Testis,0,12,1.6,1.7,0.11
29,C64,780,Kidney,0,93,4.7,6.6,0.55
30,C67,780,Bladder,0,85,3.7,6.0,0.44
31,C70-72,780," Brain, central nervous system",0,32,2.0,2.3,0.17
32,C73,780,Thyroid,0,94,4.9,6.7,0.55
33,C81,780,Hodgkin lymphoma,0,16,1.0,1.1,0.08
34,C82-86+C88,780,Non-Hodgkin lymphoma,0,128,7.1,9.1,0.63
35,C90,780,Multiple myeloma,0,58,2.5,4.1,0.30
36,C91-95,780,Leukaemia,0,98,6.1,7.0,0.51
