Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,795,All cancers excl. non-melanoma skin cancer,0,6561,117.9,105.8,12.5
1,C00-06,795,"Lip, oral cavity",0,151,2.8,2.4,0.33
2,C07-08,795,Salivary glands,0,11,0.20,0.18,0.02
3,C09-10,795,Oropharynx,0,51,0.96,0.82,0.12
4,C11,795,Nasopharynx,0,36,0.59,0.58,0.06
5,C12-13,795,Hypopharynx,0,50,0.89,0.81,0.11
6,C15,795,Oesophagus,0,393,7.7,6.3,0.91
7,C16,795,Stomach,0,623,12.1,10.1,1.5
41,C18-C21,795,Colorectum,0,323,5.9,5.2,0.69
11,C22,795,Liver and intrahepatic bile ducts,0,322,6.2,5.2,0.72
12,C23,795,Gallbladder,0,27,0.53,0.44,0.06
13,C25,795,Pancreas,0,134,2.6,2.2,0.31
14,C32,795,Larynx,0,65,1.2,1.1,0.15
15,C33-34,795,"Trachea, bronchus and lung",0,504,9.5,8.1,1.2
16,C43,795,Melanoma of skin,0,41,0.77,0.66,0.08
18,C45,795,Mesothelioma,0,1,0.02,0.02,0.00
19,C46,795,Kaposi sarcoma,0,3,0.05,0.05,0.01
20,C50,795,Breast,0,1001,31.1,31.8,3.2
21,C51,795,Vulva,0,16,0.54,0.51,0.06
22,C52,795,Vagina,0,7,0.25,0.22,0.03
23,C53,795,Cervix uteri,0,451,14.1,14.3,1.5
24,C54,795,Corpus uteri,0,164,5.4,5.2,0.68
25,C56,795,Ovary,0,142,4.5,4.5,0.47
26,C60,795,Penis,0,0,0.00,0.00,0.00
27,C61,795,Prostate,0,123,6.1,4.0,0.74
28,C62,795,Testis,0,61,2.0,2.0,0.16
29,C64,795,Kidney,0,213,3.8,3.4,0.42
30,C67,795,Bladder,0,150,2.9,2.4,0.35
31,C70-72,795," Brain, central nervous system",0,257,4.3,4.1,0.42
32,C73,795,Thyroid,0,80,1.3,1.3,0.14
33,C81,795,Hodgkin lymphoma,0,46,0.75,0.74,0.07
34,C82-86+C88,795,Non-Hodgkin lymphoma,0,76,1.3,1.2,0.13
35,C90,795,Multiple myeloma,0,58,1.1,0.94,0.13
36,C91-95,795,Leukaemia,0,215,3.7,3.5,0.34
