Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,840,All cancers excl. non-melanoma skin cancer,0,1832550,303.6,547.4,29.9
1,C00-06,840,"Lip, oral cavity",0,27570,4.6,8.2,0.55
2,C07-08,840,Salivary glands,0,5094,0.85,1.5,0.09
3,C09-10,840,Oropharynx,0,14280,2.6,4.3,0.32
4,C11,840,Nasopharynx,0,2008,0.41,0.60,0.04
5,C12-13,840,Hypopharynx,0,2316,0.38,0.69,0.05
6,C15,840,Oesophagus,0,18747,2.8,5.6,0.35
7,C16,840,Stomach,0,25554,4.1,7.6,0.47
41,C18-C21,840,Colorectum,0,160186,27.0,47.8,3.1
11,C22,840,Liver and intrahepatic bile ducts,0,43492,6.8,13.0,0.88
12,C23,840,Gallbladder,0,4719,0.67,1.4,0.08
13,C25,840,Pancreas,0,60127,8.6,18.0,1.0
14,C32,840,Larynx,0,12172,2.0,3.6,0.25
15,C33-34,840,"Trachea, bronchus and lung",0,226033,31.9,67.5,4.0
16,C43,840,Melanoma of skin,0,101388,16.5,30.3,1.8
18,C45,840,Mesothelioma,0,3114,0.40,0.93,0.04
19,C46,840,Kaposi sarcoma,0,1108,0.24,0.33,0.02
20,C50,840,Breast,0,274375,95.9,162.2,10.4
21,C51,840,Vulva,0,6228,1.8,3.7,0.21
22,C52,840,Vagina,0,1436,0.42,0.85,0.05
23,C53,840,Cervix uteri,0,13920,6.3,8.2,0.61
24,C54,840,Corpus uteri,0,66055,22.5,39.1,2.7
25,C56,840,Ovary,0,21179,7.3,12.5,0.81
26,C60,840,Penis,0,1671,0.53,1.0,0.06
27,C61,840,Prostate,0,230125,75.2,138.9,9.7
28,C62,840,Testis,0,9404,5.5,5.7,0.42
29,C64,840,Kidney,0,71759,12.8,21.4,1.5
30,C67,840,Bladder,0,80404,10.5,24.0,1.2
31,C70-72,840," Brain, central nervous system",0,24940,5.5,7.5,0.51
32,C73,840,Thyroid,0,52169,12.1,15.6,1.2
33,C81,840,Hodgkin lymphoma,0,8536,2.2,2.6,0.18
34,C82-86+C88,840,Non-Hodgkin lymphoma,0,77956,12.5,23.3,1.4
35,C90,840,Multiple myeloma,0,32258,4.8,9.6,0.58
36,C91-95,840,Leukaemia,0,63144,11.2,18.9,1.1
