Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,858,All cancers excl. non-melanoma skin cancer,0,15664,262.7,448.1,26.3
1,C00-06,858,"Lip, oral cavity",0,174,3.0,5.0,0.36
2,C07-08,858,Salivary glands,0,33,0.53,0.94,0.06
3,C09-10,858,Oropharynx,0,60,1.2,1.7,0.15
4,C11,858,Nasopharynx,0,20,0.41,0.57,0.05
5,C12-13,858,Hypopharynx,0,32,0.57,0.92,0.08
6,C15,858,Oesophagus,0,282,4.2,8.1,0.50
7,C16,858,Stomach,0,604,9.2,17.3,1.1
41,C18-C21,858,Colorectum,0,2092,31.0,59.8,3.6
11,C22,858,Liver and intrahepatic bile ducts,0,187,3.0,5.4,0.38
12,C23,858,Gallbladder,0,125,1.9,3.6,0.24
13,C25,858,Pancreas,0,816,11.4,23.3,1.3
14,C32,858,Larynx,0,177,3.1,5.1,0.40
15,C33-34,858,"Trachea, bronchus and lung",0,1752,29.7,50.1,3.8
16,C43,858,Melanoma of skin,0,251,4.5,7.2,0.50
18,C45,858,Mesothelioma,0,13,0.19,0.37,0.03
19,C46,858,Kaposi sarcoma,0,12,0.28,0.34,0.03
20,C50,858,Breast,0,2185,75.1,121.0,8.1
21,C51,858,Vulva,0,47,1.1,2.6,0.12
22,C52,858,Vagina,0,18,0.44,1.0,0.05
23,C53,858,Cervix uteri,0,377,15.9,20.9,1.6
24,C54,858,Corpus uteri,0,273,8.3,15.1,1.0
25,C56,858,Ovary,0,240,8.0,13.3,0.89
26,C60,858,Penis,0,33,1.2,2.0,0.13
27,C61,858,Prostate,0,1665,59.0,98.5,7.4
28,C62,858,Testis,0,119,6.5,7.0,0.50
29,C64,858,Kidney,0,777,14.0,22.2,1.7
30,C67,858,Bladder,0,599,8.8,17.1,1.1
31,C70-72,858," Brain, central nervous system",0,241,4.9,6.9,0.49
32,C73,858,Thyroid,0,358,8.5,10.2,0.81
33,C81,858,Hodgkin lymphoma,0,76,2.0,2.2,0.16
34,C82-86+C88,858,Non-Hodgkin lymphoma,0,487,8.7,13.9,0.97
35,C90,858,Multiple myeloma,0,159,2.4,4.6,0.29
36,C91-95,858,Leukaemia,0,297,5.7,8.5,0.52
