Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,860,All cancers excl. non-melanoma skin cancer,0,35498,111.3,103.3,12.1
1,C00-06,860,"Lip, oral cavity",0,1010,3.2,2.9,0.39
2,C07-08,860,Salivary glands,0,131,0.41,0.38,0.04
3,C09-10,860,Oropharynx,0,200,0.64,0.58,0.08
4,C11,860,Nasopharynx,0,224,0.67,0.65,0.06
5,C12-13,860,Hypopharynx,0,151,0.45,0.44,0.05
6,C15,860,Oesophagus,0,1488,5.0,4.3,0.63
7,C16,860,Stomach,0,3053,10.2,8.9,1.3
41,C18-C21,860,Colorectum,0,2779,9.0,8.1,1.1
11,C22,860,Liver and intrahepatic bile ducts,0,1612,5.4,4.7,0.68
12,C23,860,Gallbladder,0,85,0.28,0.25,0.04
13,C25,860,Pancreas,0,1128,3.7,3.3,0.46
14,C32,860,Larynx,0,154,0.48,0.45,0.06
15,C33-34,860,"Trachea, bronchus and lung",0,2531,8.4,7.4,1.1
16,C43,860,Melanoma of skin,0,176,0.58,0.51,0.06
18,C45,860,Mesothelioma,0,50,0.16,0.15,0.02
19,C46,860,Kaposi sarcoma,0,51,0.16,0.15,0.02
20,C50,860,Breast,0,5022,27.8,29.2,3.0
21,C51,860,Vulva,0,79,0.47,0.46,0.06
22,C52,860,Vagina,0,40,0.26,0.23,0.03
23,C53,860,Cervix uteri,0,2654,14.8,15.4,1.6
24,C54,860,Corpus uteri,0,891,5.3,5.2,0.70
25,C56,860,Ovary,0,856,4.8,5.0,0.51
26,C60,860,Penis,0,10,0.08,0.06,0.01
27,C61,860,Prostate,0,1217,10.3,7.1,1.3
28,C62,860,Testis,0,290,1.7,1.7,0.14
29,C64,860,Kidney,0,750,2.4,2.2,0.26
30,C67,860,Bladder,0,774,2.6,2.3,0.33
31,C70-72,860," Brain, central nervous system",0,1692,4.9,4.9,0.48
32,C73,860,Thyroid,0,390,1.2,1.1,0.13
33,C81,860,Hodgkin lymphoma,0,466,1.4,1.4,0.13
34,C82-86+C88,860,Non-Hodgkin lymphoma,0,605,1.8,1.8,0.18
35,C90,860,Multiple myeloma,0,39,0.12,0.11,0.01
36,C91-95,860,Leukaemia,0,1476,4.4,4.3,0.39
