Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,862,All cancers excl. non-melanoma skin cancer,0,58613,173.4,200.3,17.6
1,C00-06,862,"Lip, oral cavity",0,643,1.9,2.2,0.21
2,C07-08,862,Salivary glands,0,153,0.46,0.52,0.05
3,C09-10,862,Oropharynx,0,369,1.1,1.3,0.14
4,C11,862,Nasopharynx,0,126,0.38,0.43,0.04
5,C12-13,862,Hypopharynx,0,58,0.17,0.20,0.02
6,C15,862,Oesophagus,0,426,1.2,1.5,0.15
7,C16,862,Stomach,0,2617,7.5,8.9,0.85
41,C18-C21,862,Colorectum,0,6384,18.7,21.8,2.2
11,C22,862,Liver and intrahepatic bile ducts,0,1402,4.0,4.8,0.44
12,C23,862,Gallbladder,0,199,0.57,0.68,0.07
13,C25,862,Pancreas,0,1475,4.2,5.0,0.49
14,C32,862,Larynx,0,779,2.3,2.7,0.29
15,C33-34,862,"Trachea, bronchus and lung",0,5474,15.9,18.7,1.9
16,C43,862,Melanoma of skin,0,492,1.5,1.7,0.16
18,C45,862,Mesothelioma,0,17,0.05,0.06,0.01
19,C46,862,Kaposi sarcoma,0,197,0.62,0.67,0.06
20,C50,862,Breast,0,8301,47.1,55.8,5.1
21,C51,862,Vulva,0,93,0.49,0.63,0.06
22,C52,862,Vagina,0,114,0.64,0.77,0.08
23,C53,862,Cervix uteri,0,3965,22.7,26.7,2.3
24,C54,862,Corpus uteri,0,1489,8.4,10.0,1.0
25,C56,862,Ovary,0,1062,6.1,7.1,0.67
26,C60,862,Penis,0,268,1.7,1.9,0.14
27,C61,862,Prostate,0,8212,52.3,57.1,5.7
28,C62,862,Testis,0,368,2.5,2.6,0.18
29,C64,862,Kidney,0,2167,6.6,7.4,0.78
30,C67,862,Bladder,0,1249,3.6,4.3,0.39
31,C70-72,862," Brain, central nervous system",0,876,2.8,3.0,0.27
32,C73,862,Thyroid,0,1101,3.4,3.8,0.34
33,C81,862,Hodgkin lymphoma,0,705,2.2,2.4,0.20
34,C82-86+C88,862,Non-Hodgkin lymphoma,0,2041,6.2,7.0,0.67
35,C90,862,Multiple myeloma,0,471,1.4,1.6,0.17
36,C91-95,862,Leukaemia,0,1854,6.0,6.3,0.52
