Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,12,All cancers excl. non-melanoma skin cancer,0,35347,76.8,77.9,8.2
1,C00-06,12,"Lip, oral cavity",0,146,0.31,0.32,0.04
2,C07-08,12,Salivary glands,0,59,0.13,0.13,0.01
3,C09-10,12,Oropharynx,0,53,0.11,0.12,0.01
4,C11,12,Nasopharynx,0,971,2.2,2.1,0.26
5,C12-13,12,Hypopharynx,0,41,0.08,0.09,0.01
6,C15,12,Oesophagus,0,266,0.56,0.59,0.06
7,C16,12,Stomach,0,2250,4.9,5.0,0.57
41,C18-C21,12,Colorectum,0,4380,9.4,9.7,1.0
11,C22,12,Liver and intrahepatic bile ducts,0,663,1.5,1.5,0.17
12,C23,12,Gallbladder,0,785,1.7,1.7,0.19
13,C25,12,Pancreas,0,1136,2.5,2.5,0.30
14,C32,12,Larynx,0,627,1.4,1.4,0.17
15,C33-34,12,"Trachea, bronchus and lung",0,4599,10.4,10.1,1.3
16,C43,12,Melanoma of skin,0,113,0.24,0.25,0.02
18,C45,12,Mesothelioma,0,65,0.14,0.14,0.02
19,C46,12,Kaposi sarcoma,0,28,0.05,0.06,0.00
20,C50,12,Breast,0,4893,20.8,21.8,2.2
21,C51,12,Vulva,0,36,0.15,0.16,0.02
22,C52,12,Vagina,0,24,0.10,0.11,0.01
23,C53,12,Cervix uteri,0,1013,4.6,4.5,0.57
24,C54,12,Corpus uteri,0,124,0.55,0.55,0.07
25,C56,12,Ovary,0,795,3.6,3.5,0.44
26,C60,12,Penis,0,2,0.01,0.01,0.00
27,C61,12,Prostate,0,1333,5.1,5.8,0.19
28,C62,12,Testis,0,29,0.13,0.13,0.01
29,C64,12,Kidney,0,371,0.82,0.82,0.09
30,C67,12,Bladder,0,1818,3.9,4.0,0.43
31,C70-72,12," Brain, central nervous system",0,1575,3.5,3.5,0.38
32,C73,12,Thyroid,0,358,0.75,0.79,0.07
33,C81,12,Hodgkin lymphoma,0,278,0.62,0.61,0.06
34,C82-86+C88,12,Non-Hodgkin lymphoma,0,1187,2.5,2.6,0.27
35,C90,12,Multiple myeloma,0,655,1.5,1.4,0.18
36,C91-95,12,Leukaemia,0,1167,2.5,2.6,0.24
