Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,24,All cancers excl. non-melanoma skin cancer,0,15446,89.5,44.1,9.6
1,C00-06,24,"Lip, oral cavity",0,316,2.0,0.90,0.25
2,C07-08,24,Salivary glands,0,101,0.64,0.29,0.06
3,C09-10,24,Oropharynx,0,129,0.88,0.37,0.11
4,C11,24,Nasopharynx,0,43,0.20,0.12,0.02
5,C12-13,24,Hypopharynx,0,5,0.05,0.01,0.01
6,C15,24,Oesophagus,0,886,6.2,2.5,0.84
7,C16,24,Stomach,0,589,4.0,1.7,0.46
41,C18-C21,24,Colorectum,0,512,3.2,1.5,0.33
11,C22,24,Liver and intrahepatic bile ducts,0,1087,6.4,3.1,0.73
12,C23,24,Gallbladder,0,22,0.15,0.06,0.02
13,C25,24,Pancreas,0,269,1.6,0.77,0.18
14,C32,24,Larynx,0,200,1.5,0.57,0.21
15,C33-34,24,"Trachea, bronchus and lung",0,309,2.2,0.88,0.32
16,C43,24,Melanoma of skin,0,61,0.46,0.17,0.06
18,C45,24,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,24,Kaposi sarcoma,0,357,1.5,1.0,0.13
20,C50,24,Breast,0,1333,14.3,7.5,1.6
21,C51,24,Vulva,0,52,0.67,0.29,0.12
22,C52,24,Vagina,0,41,0.35,0.23,0.03
23,C53,24,Cervix uteri,0,1715,20.2,9.7,2.3
24,C54,24,Corpus uteri,0,105,1.5,0.59,0.18
25,C56,24,Ovary,0,220,1.7,1.2,0.17
26,C60,24,Penis,0,31,0.58,0.18,0.08
27,C61,24,Prostate,0,1415,27.3,8.2,3.0
28,C62,24,Testis,0,18,0.14,0.10,0.02
29,C64,24,Kidney,0,331,1.3,0.94,0.09
30,C67,24,Bladder,0,229,1.5,0.65,0.14
31,C70-72,24," Brain, central nervous system",0,863,3.2,2.5,0.33
32,C73,24,Thyroid,0,48,0.39,0.14,0.06
33,C81,24,Hodgkin lymphoma,0,66,0.34,0.19,0.02
34,C82-86+C88,24,Non-Hodgkin lymphoma,0,466,1.8,1.3,0.15
35,C90,24,Multiple myeloma,0,113,0.80,0.32,0.08
36,C91-95,24,Leukaemia,0,384,1.6,1.1,0.19
