Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,84,All cancers excl. non-melanoma skin cancer,0,211,59.9,51.2,6.1
1,C00-06,84,"Lip, oral cavity",0,0,0.00,0.00,0.00
2,C07-08,84,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,84,Oropharynx,0,0,0.00,0.00,0.00
4,C11,84,Nasopharynx,0,0,0.00,0.00,0.00
5,C12-13,84,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,84,Oesophagus,0,3,0.97,0.73,0.14
7,C16,84,Stomach,0,16,4.3,3.9,0.43
41,C18-C21,84,Colorectum,0,19,5.4,4.6,0.61
11,C22,84,Liver and intrahepatic bile ducts,0,23,6.7,5.6,0.74
12,C23,84,Gallbladder,0,1,0.36,0.24,0.09
13,C25,84,Pancreas,0,8,2.3,1.9,0.23
14,C32,84,Larynx,0,5,1.3,1.2,0.06
15,C33-34,84,"Trachea, bronchus and lung",0,26,8.1,6.3,0.95
16,C43,84,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,84,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,84,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,84,Breast,0,21,11.7,10.1,1.3
21,C51,84,Vulva,0,0,0.00,0.00,0.00
22,C52,84,Vagina,0,0,0.00,0.00,0.00
23,C53,84,Cervix uteri,0,24,13.0,11.6,1.2
24,C54,84,Corpus uteri,0,1,0.73,0.48,0.12
25,C56,84,Ovary,0,2,0.78,0.96,0.03
26,C60,84,Penis,0,0,0.00,0.00,0.00
27,C61,84,Prostate,0,29,16.0,14.2,1.2
28,C62,84,Testis,0,0,0.00,0.00,0.00
29,C64,84,Kidney,0,2,0.71,0.49,0.10
30,C67,84,Bladder,0,0,0.00,0.00,0.00
31,C70-72,84," Brain, central nervous system",0,3,0.89,0.73,0.12
32,C73,84,Thyroid,0,0,0.00,0.00,0.00
33,C81,84,Hodgkin lymphoma,0,0,0.00,0.00,0.00
34,C82-86+C88,84,Non-Hodgkin lymphoma,0,2,0.63,0.49,0.09
35,C90,84,Multiple myeloma,0,0,0.00,0.00,0.00
36,C91-95,84,Leukaemia,0,5,1.4,1.2,0.20
