Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,120,All cancers excl. non-melanoma skin cancer,0,12686,86.5,45.5,9.3
1,C00-06,120,"Lip, oral cavity",0,160,1.3,0.57,0.15
2,C07-08,120,Salivary glands,0,145,1.1,0.52,0.13
3,C09-10,120,Oropharynx,0,117,0.87,0.42,0.11
4,C11,120,Nasopharynx,0,263,1.7,0.94,0.20
5,C12-13,120,Hypopharynx,0,130,0.83,0.47,0.08
6,C15,120,Oesophagus,0,158,1.2,0.57,0.13
7,C16,120,Stomach,0,395,3.0,1.4,0.33
41,C18-C21,120,Colorectum,0,608,4.3,2.2,0.49
11,C22,120,Liver and intrahepatic bile ducts,0,910,5.6,3.3,0.61
12,C23,120,Gallbladder,0,22,0.16,0.08,0.02
13,C25,120,Pancreas,0,168,1.3,0.60,0.15
14,C32,120,Larynx,0,26,0.20,0.09,0.03
15,C33-34,120,"Trachea, bronchus and lung",0,366,2.9,1.3,0.34
16,C43,120,Melanoma of skin,0,61,0.54,0.22,0.05
18,C45,120,Mesothelioma,0,7,0.05,0.03,0.00
19,C46,120,Kaposi sarcoma,0,696,3.7,2.5,0.38
20,C50,120,Breast,0,2285,27.4,16.4,3.0
21,C51,120,Vulva,0,32,0.44,0.23,0.04
22,C52,120,Vagina,0,30,0.38,0.22,0.04
23,C53,120,Cervix uteri,0,1837,25.7,13.2,2.9
24,C54,120,Corpus uteri,0,77,1.2,0.55,0.15
25,C56,120,Ovary,0,406,5.3,2.9,0.64
26,C60,120,Penis,0,5,0.06,0.04,0.01
27,C61,120,Prostate,0,1131,23.3,8.1,2.5
28,C62,120,Testis,0,14,0.12,0.10,0.01
29,C64,120,Kidney,0,115,0.64,0.41,0.07
30,C67,120,Bladder,0,95,0.80,0.34,0.09
31,C70-72,120," Brain, central nervous system",0,87,0.45,0.31,0.04
32,C73,120,Thyroid,0,50,0.38,0.18,0.05
33,C81,120,Hodgkin lymphoma,0,48,0.24,0.17,0.02
34,C82-86+C88,120,Non-Hodgkin lymphoma,0,834,4.8,3.0,0.50
35,C90,120,Multiple myeloma,0,94,0.70,0.34,0.08
36,C91-95,120,Leukaemia,0,286,1.6,1.0,0.17
