Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,140,All cancers excl. non-melanoma skin cancer,0,2003,79.0,39.9,8.6
1,C00-06,140,"Lip, oral cavity",0,28,1.0,0.56,0.12
2,C07-08,140,Salivary glands,0,11,0.44,0.22,0.04
3,C09-10,140,Oropharynx,0,4,0.15,0.08,0.01
4,C11,140,Nasopharynx,0,33,1.2,0.66,0.15
5,C12-13,140,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,140,Oesophagus,0,31,1.3,0.62,0.17
7,C16,140,Stomach,0,73,3.2,1.5,0.34
41,C18-C21,140,Colorectum,0,119,4.7,2.4,0.51
11,C22,140,Liver and intrahepatic bile ducts,0,168,6.3,3.4,0.68
12,C23,140,Gallbladder,0,8,0.36,0.16,0.04
13,C25,140,Pancreas,0,29,1.2,0.58,0.16
14,C32,140,Larynx,0,8,0.35,0.16,0.05
15,C33-34,140,"Trachea, bronchus and lung",0,44,2.0,0.88,0.25
16,C43,140,Melanoma of skin,0,11,0.51,0.22,0.07
18,C45,140,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,140,Kaposi sarcoma,0,38,1.2,0.76,0.11
20,C50,140,Breast,0,376,25.3,14.9,2.7
21,C51,140,Vulva,0,9,0.71,0.36,0.09
22,C52,140,Vagina,0,2,0.14,0.08,0.02
23,C53,140,Cervix uteri,0,240,18.3,9.5,2.2
24,C54,140,Corpus uteri,0,10,0.78,0.40,0.11
25,C56,140,Ovary,0,68,4.9,2.7,0.60
26,C60,140,Penis,0,0,0.00,0.00,0.00
27,C61,140,Prostate,0,174,22.6,7.0,2.3
28,C62,140,Testis,0,0,0.00,0.00,0.00
29,C64,140,Kidney,0,25,0.70,0.50,0.08
30,C67,140,Bladder,0,24,1.0,0.48,0.13
31,C70-72,140," Brain, central nervous system",0,25,0.73,0.50,0.08
32,C73,140,Thyroid,0,17,0.82,0.34,0.10
33,C81,140,Hodgkin lymphoma,0,7,0.10,0.14,0.01
34,C82-86+C88,140,Non-Hodgkin lymphoma,0,102,3.8,2.0,0.44
35,C90,140,Multiple myeloma,0,23,1.0,0.46,0.13
36,C91-95,140,Leukaemia,0,74,2.6,1.5,0.29
