Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,178,All cancers excl. non-melanoma skin cancer,0,1729,52.8,29.8,5.7
1,C00-06,178,"Lip, oral cavity",0,9,0.32,0.16,0.05
2,C07-08,178,Salivary glands,0,6,0.16,0.10,0.02
3,C09-10,178,Oropharynx,0,0,0.00,0.00,0.00
4,C11,178,Nasopharynx,0,11,0.35,0.19,0.05
5,C12-13,178,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,178,Oesophagus,0,11,0.38,0.19,0.05
7,C16,178,Stomach,0,100,3.1,1.7,0.34
41,C18-C21,178,Colorectum,0,108,3.1,1.9,0.35
11,C22,178,Liver and intrahepatic bile ducts,0,264,6.8,4.6,0.72
12,C23,178,Gallbladder,0,0,0.00,0.00,0.00
13,C25,178,Pancreas,0,37,1.1,0.64,0.14
14,C32,178,Larynx,0,10,0.35,0.17,0.05
15,C33-34,178,"Trachea, bronchus and lung",0,36,1.3,0.62,0.17
16,C43,178,Melanoma of skin,0,15,0.65,0.26,0.06
18,C45,178,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,178,Kaposi sarcoma,0,7,0.15,0.12,0.01
20,C50,178,Breast,0,241,12.5,8.3,1.4
21,C51,178,Vulva,0,10,0.77,0.34,0.08
22,C52,178,Vagina,0,2,0.12,0.07,0.02
23,C53,178,Cervix uteri,0,248,14.2,8.6,1.7
24,C54,178,Corpus uteri,0,5,0.31,0.17,0.04
25,C56,178,Ovary,0,42,2.4,1.5,0.30
26,C60,178,Penis,0,0,0.00,0.00,0.00
27,C61,178,Prostate,0,252,25.5,8.7,2.4
28,C62,178,Testis,0,0,0.00,0.00,0.00
29,C64,178,Kidney,0,18,0.31,0.31,0.03
30,C67,178,Bladder,0,8,0.25,0.14,0.03
31,C70-72,178," Brain, central nervous system",0,8,0.15,0.14,0.01
32,C73,178,Thyroid,0,4,0.15,0.07,0.03
33,C81,178,Hodgkin lymphoma,0,0,0.00,0.00,0.00
34,C82-86+C88,178,Non-Hodgkin lymphoma,0,30,0.82,0.52,0.09
35,C90,178,Multiple myeloma,0,36,1.2,0.62,0.14
36,C91-95,178,Leukaemia,0,79,2.0,1.4,0.23
