Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,192,All cancers excl. non-melanoma skin cancer,0,27304,108.9,241.5,11.6
1,C00-06,192,"Lip, oral cavity",0,422,1.8,3.7,0.21
2,C07-08,192,Salivary glands,0,87,0.33,0.77,0.04
3,C09-10,192,Oropharynx,0,311,1.3,2.8,0.17
4,C11,192,Nasopharynx,0,107,0.48,0.95,0.06
5,C12-13,192,Hypopharynx,0,56,0.25,0.50,0.03
6,C15,192,Oesophagus,0,922,4.0,8.2,0.49
7,C16,192,Stomach,0,943,3.7,8.3,0.43
41,C18-C21,192,Colorectum,0,3061,11.1,27.1,1.2
11,C22,192,Liver and intrahepatic bile ducts,0,881,3.5,7.8,0.41
12,C23,192,Gallbladder,0,55,0.22,0.49,0.03
13,C25,192,Pancreas,0,982,3.9,8.7,0.46
14,C32,192,Larynx,0,952,4.0,8.4,0.50
15,C33-34,192,"Trachea, bronchus and lung",0,6066,24.3,53.7,3.0
16,C43,192,Melanoma of skin,0,112,0.44,0.99,0.04
18,C45,192,Mesothelioma,0,12,0.06,0.11,0.01
19,C46,192,Kaposi sarcoma,0,11,0.07,0.10,0.01
20,C50,192,Breast,0,1779,13.9,31.2,1.5
21,C51,192,Vulva,0,37,0.24,0.65,0.02
22,C52,192,Vagina,0,28,0.21,0.49,0.02
23,C53,192,Cervix uteri,0,695,6.4,12.2,0.71
24,C54,192,Corpus uteri,0,625,4.7,11.0,0.55
25,C56,192,Ovary,0,363,3.3,6.4,0.38
26,C60,192,Penis,0,43,0.35,0.77,0.04
27,C61,192,Prostate,0,3548,24.3,63.2,2.1
28,C62,192,Testis,0,18,0.22,0.32,0.02
29,C64,192,Kidney,0,319,1.3,2.8,0.15
30,C67,192,Bladder,0,765,2.6,6.8,0.28
31,C70-72,192," Brain, central nervous system",0,689,3.5,6.1,0.38
32,C73,192,Thyroid,0,119,0.46,1.1,0.05
33,C81,192,Hodgkin lymphoma,0,138,0.67,1.2,0.07
34,C82-86+C88,192,Non-Hodgkin lymphoma,0,522,2.6,4.6,0.28
35,C90,192,Multiple myeloma,0,387,1.6,3.4,0.20
36,C91-95,192,Leukaemia,0,646,3.4,5.7,0.32
