Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,214,All cancers excl. non-melanoma skin cancer,0,11653,91.4,105.4,9.3
1,C00-06,214,"Lip, oral cavity",0,67,0.53,0.61,0.06
2,C07-08,214,Salivary glands,0,11,0.08,0.10,0.01
3,C09-10,214,Oropharynx,0,85,0.67,0.77,0.08
4,C11,214,Nasopharynx,0,32,0.28,0.29,0.03
5,C12-13,214,Hypopharynx,0,12,0.11,0.11,0.01
6,C15,214,Oesophagus,0,182,1.5,1.7,0.19
7,C16,214,Stomach,0,587,4.7,5.3,0.54
41,C18-C21,214,Colorectum,0,934,7.6,8.5,0.91
11,C22,214,Liver and intrahepatic bile ducts,0,751,5.9,6.8,0.63
12,C23,214,Gallbladder,0,41,0.32,0.37,0.04
13,C25,214,Pancreas,0,554,4.4,5.0,0.50
14,C32,214,Larynx,0,207,1.7,1.9,0.19
15,C33-34,214,"Trachea, bronchus and lung",0,1379,10.9,12.5,1.3
16,C43,214,Melanoma of skin,0,34,0.27,0.31,0.03
18,C45,214,Mesothelioma,0,5,0.04,0.05,0.00
19,C46,214,Kaposi sarcoma,0,12,0.10,0.11,0.01
20,C50,214,Breast,0,1457,23.0,26.3,2.4
21,C51,214,Vulva,0,5,0.06,0.09,0.00
22,C52,214,Vagina,0,24,0.37,0.43,0.04
23,C53,214,Cervix uteri,0,622,9.9,11.2,1.1
24,C54,214,Corpus uteri,0,61,0.95,1.1,0.12
25,C56,214,Ovary,0,112,1.7,2.0,0.18
26,C60,214,Penis,0,19,0.31,0.34,0.03
27,C61,214,Prostate,0,2120,31.1,38.4,2.5
28,C62,214,Testis,0,4,0.06,0.07,0.01
29,C64,214,Kidney,0,56,0.46,0.51,0.05
30,C67,214,Bladder,0,117,0.87,1.1,0.09
31,C70-72,214," Brain, central nervous system",0,315,2.7,2.9,0.28
32,C73,214,Thyroid,0,44,0.32,0.40,0.03
33,C81,214,Hodgkin lymphoma,0,62,0.53,0.56,0.05
34,C82-86+C88,214,Non-Hodgkin lymphoma,0,165,1.4,1.5,0.15
35,C90,214,Multiple myeloma,0,155,1.3,1.4,0.15
36,C91-95,214,Leukaemia,0,570,4.7,5.2,0.44
