Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,218,All cancers excl. non-melanoma skin cancer,0,15903,74.9,87.8,7.3
1,C00-06,218,"Lip, oral cavity",0,110,0.51,0.61,0.05
2,C07-08,218,Salivary glands,0,30,0.13,0.17,0.01
3,C09-10,218,Oropharynx,0,39,0.19,0.22,0.02
4,C11,218,Nasopharynx,0,17,0.08,0.09,0.01
5,C12-13,218,Hypopharynx,0,7,0.03,0.04,0.00
6,C15,218,Oesophagus,0,174,0.78,0.96,0.08
7,C16,218,Stomach,0,2194,10.2,12.1,1.0
41,C18-C21,218,Colorectum,0,1283,6.0,7.1,0.60
11,C22,218,Liver and intrahepatic bile ducts,0,1005,4.7,5.6,0.50
12,C23,218,Gallbladder,0,132,0.63,0.73,0.07
13,C25,218,Pancreas,0,692,3.3,3.8,0.35
14,C32,218,Larynx,0,87,0.42,0.48,0.05
15,C33-34,218,"Trachea, bronchus and lung",0,1145,5.3,6.3,0.55
16,C43,218,Melanoma of skin,0,158,0.73,0.87,0.07
18,C45,218,Mesothelioma,0,22,0.10,0.12,0.01
19,C46,218,Kaposi sarcoma,0,18,0.08,0.10,0.01
20,C50,218,Breast,0,1154,11.2,12.7,1.2
21,C51,218,Vulva,0,28,0.23,0.31,0.02
22,C52,218,Vagina,0,9,0.07,0.10,0.01
23,C53,218,Cervix uteri,0,939,8.9,10.4,0.94
24,C54,218,Corpus uteri,0,223,2.2,2.5,0.26
25,C56,218,Ovary,0,331,3.2,3.7,0.36
26,C60,218,Penis,0,45,0.46,0.50,0.04
27,C61,218,Prostate,0,1362,12.2,15.0,0.80
28,C62,218,Testis,0,54,0.54,0.60,0.04
29,C64,218,Kidney,0,241,1.2,1.3,0.14
30,C67,218,Bladder,0,258,1.1,1.4,0.09
31,C70-72,218," Brain, central nervous system",0,537,2.7,3.0,0.28
32,C73,218,Thyroid,0,216,1.0,1.2,0.11
33,C81,218,Hodgkin lymphoma,0,71,0.35,0.39,0.03
34,C82-86+C88,218,Non-Hodgkin lymphoma,0,740,3.6,4.1,0.39
35,C90,218,Multiple myeloma,0,241,1.2,1.3,0.14
36,C91-95,218,Leukaemia,0,896,4.6,5.0,0.39
