Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,818,All cancers excl. non-melanoma skin cancer,0,94069,106.3,88.6,11.0
1,C00-06,818,"Lip, oral cavity",0,659,0.74,0.62,0.08
2,C07-08,818,Salivary glands,0,191,0.22,0.18,0.02
3,C09-10,818,Oropharynx,0,67,0.07,0.06,0.01
4,C11,818,Nasopharynx,0,159,0.17,0.15,0.01
5,C12-13,818,Hypopharynx,0,167,0.19,0.16,0.02
6,C15,818,Oesophagus,0,1510,1.7,1.4,0.21
7,C16,818,Stomach,0,2469,2.7,2.3,0.31
41,C18-C21,818,Colorectum,0,3096,3.4,2.9,0.34
11,C22,818,Liver and intrahepatic bile ducts,0,26971,30.8,25.4,3.6
12,C23,818,Gallbladder,0,578,0.66,0.54,0.08
13,C25,818,Pancreas,0,3186,3.7,3.0,0.44
14,C32,818,Larynx,0,1283,1.5,1.2,0.16
15,C33-34,818,"Trachea, bronchus and lung",0,6805,7.9,6.4,0.94
16,C43,818,Melanoma of skin,0,81,0.09,0.08,0.01
18,C45,818,Mesothelioma,0,335,0.38,0.32,0.04
19,C46,818,Kaposi sarcoma,0,27,0.03,0.03,0.01
20,C50,818,Breast,0,9596,19.9,18.3,2.1
21,C51,818,Vulva,0,137,0.29,0.26,0.03
22,C52,818,Vagina,0,39,0.09,0.07,0.01
23,C53,818,Cervix uteri,0,820,1.8,1.6,0.21
24,C54,818,Corpus uteri,0,425,0.91,0.81,0.10
25,C56,818,Ovary,0,1944,4.2,3.7,0.48
26,C60,818,Penis,0,4,0.01,0.01,0.00
27,C61,818,Prostate,0,2102,6.4,3.9,0.24
28,C62,818,Testis,0,55,0.13,0.10,0.01
29,C64,818,Kidney,0,990,1.1,0.93,0.10
30,C67,818,Bladder,0,7481,8.8,7.1,0.90
31,C70-72,818," Brain, central nervous system",0,3611,3.8,3.4,0.39
32,C73,818,Thyroid,0,483,0.59,0.45,0.04
33,C81,818,Hodgkin lymphoma,0,419,0.42,0.39,0.03
34,C82-86+C88,818,Non-Hodgkin lymphoma,0,4593,5.2,4.3,0.55
35,C90,818,Multiple myeloma,0,771,0.90,0.73,0.11
36,C91-95,818,Leukaemia,0,4371,4.7,4.1,0.50
