Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,226,All cancers excl. non-melanoma skin cancer,0,583,71.2,39.0,7.8
1,C00-06,226,"Lip, oral cavity",0,10,1.7,0.67,0.26
2,C07-08,226,Salivary glands,0,2,0.13,0.13,0.01
3,C09-10,226,Oropharynx,0,4,0.67,0.27,0.08
4,C11,226,Nasopharynx,0,5,0.64,0.33,0.07
5,C12-13,226,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,226,Oesophagus,0,7,0.86,0.47,0.09
7,C16,226,Stomach,0,20,2.4,1.3,0.26
41,C18-C21,226,Colorectum,0,38,4.1,2.5,0.47
11,C22,226,Liver and intrahepatic bile ducts,0,73,7.4,4.9,0.81
12,C23,226,Gallbladder,0,1,0.14,0.07,0.02
13,C25,226,Pancreas,0,16,2.4,1.1,0.30
14,C32,226,Larynx,0,5,0.86,0.33,0.11
15,C33-34,226,"Trachea, bronchus and lung",0,19,2.7,1.3,0.35
16,C43,226,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,226,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,226,Kaposi sarcoma,0,27,2.2,1.8,0.20
20,C50,226,Breast,0,87,21.4,13.1,2.2
21,C51,226,Vulva,0,0,0.00,0.00,0.00
22,C52,226,Vagina,0,1,0.14,0.15,0.01
23,C53,226,Cervix uteri,0,76,21.9,11.4,2.5
24,C54,226,Corpus uteri,0,4,1.3,0.60,0.21
25,C56,226,Ovary,0,16,4.8,2.4,0.54
26,C60,226,Penis,0,0,0.00,0.00,0.00
27,C61,226,Prostate,0,45,18.1,5.4,2.1
28,C62,226,Testis,0,0,0.00,0.00,0.00
29,C64,226,Kidney,0,3,0.47,0.20,0.06
30,C67,226,Bladder,0,5,0.86,0.33,0.11
31,C70-72,226," Brain, central nervous system",0,7,0.60,0.47,0.06
32,C73,226,Thyroid,0,0,0.00,0.00,0.00
33,C81,226,Hodgkin lymphoma,0,1,0.05,0.07,0.00
34,C82-86+C88,226,Non-Hodgkin lymphoma,0,36,3.6,2.4,0.37
35,C90,226,Multiple myeloma,0,5,0.68,0.33,0.07
36,C91-95,226,Leukaemia,0,16,1.2,1.1,0.10
