Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,748,All cancers excl. non-melanoma skin cancer,0,686,87.1,57.9,8.8
1,C00-06,748,"Lip, oral cavity",0,4,0.71,0.34,0.12
2,C07-08,748,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,748,Oropharynx,0,1,0.15,0.08,0.04
4,C11,748,Nasopharynx,0,1,0.08,0.08,0.01
5,C12-13,748,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,748,Oesophagus,0,13,1.9,1.1,0.22
7,C16,748,Stomach,0,8,1.3,0.68,0.13
41,C18-C21,748,Colorectum,0,31,4.0,2.6,0.43
11,C22,748,Liver and intrahepatic bile ducts,0,31,4.0,2.6,0.36
12,C23,748,Gallbladder,0,0,0.00,0.00,0.00
13,C25,748,Pancreas,0,9,1.4,0.76,0.18
14,C32,748,Larynx,0,2,0.27,0.17,0.03
15,C33-34,748,"Trachea, bronchus and lung",0,29,4.1,2.5,0.42
16,C43,748,Melanoma of skin,0,2,0.21,0.17,0.00
18,C45,748,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,748,Kaposi sarcoma,0,58,5.0,4.9,0.40
20,C50,748,Breast,0,47,11.3,7.8,1.1
21,C51,748,Vulva,0,16,3.6,2.7,0.34
22,C52,748,Vagina,0,3,0.73,0.50,0.07
23,C53,748,Cervix uteri,0,269,64.3,44.8,6.9
24,C54,748,Corpus uteri,0,1,0.16,0.17,0.00
25,C56,748,Ovary,0,9,2.3,1.5,0.30
26,C60,748,Penis,0,10,3.4,1.7,0.37
27,C61,748,Prostate,0,57,24.4,9.8,1.9
28,C62,748,Testis,0,0,0.00,0.00,0.00
29,C64,748,Kidney,0,1,0.21,0.08,0.03
30,C67,748,Bladder,0,4,0.76,0.34,0.09
31,C70-72,748," Brain, central nervous system",0,5,0.40,0.42,0.03
32,C73,748,Thyroid,0,2,0.33,0.17,0.07
33,C81,748,Hodgkin lymphoma,0,1,0.09,0.08,0.01
34,C82-86+C88,748,Non-Hodgkin lymphoma,0,15,2.0,1.3,0.24
35,C90,748,Multiple myeloma,0,4,0.56,0.34,0.06
36,C91-95,748,Leukaemia,0,7,0.83,0.59,0.05
