Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,288,All cancers excl. non-melanoma skin cancer,0,17838,82.1,55.1,8.5
1,C00-06,288,"Lip, oral cavity",0,139,0.68,0.43,0.07
2,C07-08,288,Salivary glands,0,72,0.34,0.22,0.04
3,C09-10,288,Oropharynx,0,44,0.21,0.14,0.02
4,C11,288,Nasopharynx,0,136,0.49,0.42,0.05
5,C12-13,288,Hypopharynx,0,21,0.13,0.06,0.01
6,C15,288,Oesophagus,0,439,2.5,1.4,0.26
7,C16,288,Stomach,0,820,4.3,2.5,0.50
41,C18-C21,288,Colorectum,0,656,3.3,2.0,0.36
11,C22,288,Liver and intrahepatic bile ducts,0,3362,15.0,10.4,1.5
12,C23,288,Gallbladder,0,32,0.12,0.10,0.01
13,C25,288,Pancreas,0,341,1.7,1.1,0.22
14,C32,288,Larynx,0,146,0.79,0.45,0.09
15,C33-34,288,"Trachea, bronchus and lung",0,492,2.4,1.5,0.28
16,C43,288,Melanoma of skin,0,6,0.03,0.02,0.00
18,C45,288,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,288,Kaposi sarcoma,0,80,0.30,0.25,0.03
20,C50,288,Breast,0,2369,19.3,14.8,2.1
21,C51,288,Vulva,0,35,0.39,0.22,0.04
22,C52,288,Vagina,0,9,0.07,0.06,0.01
23,C53,288,Cervix uteri,0,1815,16.9,11.4,2.0
24,C54,288,Corpus uteri,0,167,1.8,1.1,0.21
25,C56,288,Ovary,0,878,8.0,5.5,0.95
26,C60,288,Penis,0,6,0.06,0.04,0.01
27,C61,288,Prostate,0,1233,17.1,7.5,1.8
28,C62,288,Testis,0,19,0.14,0.12,0.01
29,C64,288,Kidney,0,218,0.99,0.67,0.09
30,C67,288,Bladder,0,259,1.3,0.80,0.16
31,C70-72,288," Brain, central nervous system",0,341,1.6,1.1,0.15
32,C73,288,Thyroid,0,45,0.25,0.14,0.03
33,C81,288,Hodgkin lymphoma,0,74,0.28,0.23,0.03
34,C82-86+C88,288,Non-Hodgkin lymphoma,0,813,3.2,2.5,0.32
35,C90,288,Multiple myeloma,0,106,0.55,0.33,0.06
36,C91-95,288,Leukaemia,0,355,1.3,1.1,0.12
