Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,320,All cancers excl. non-melanoma skin cancer,0,10207,70.1,54.9,7.4
1,C00-06,320,"Lip, oral cavity",0,74,0.48,0.40,0.04
2,C07-08,320,Salivary glands,0,11,0.08,0.06,0.01
3,C09-10,320,Oropharynx,0,31,0.22,0.17,0.03
4,C11,320,Nasopharynx,0,12,0.09,0.06,0.01
5,C12-13,320,Hypopharynx,0,3,0.02,0.02,0.00
6,C15,320,Oesophagus,0,139,0.96,0.75,0.11
7,C16,320,Stomach,0,1556,10.7,8.4,1.1
41,C18-C21,320,Colorectum,0,544,3.7,2.9,0.40
11,C22,320,Liver and intrahepatic bile ducts,0,2036,14.9,11.0,1.8
12,C23,320,Gallbladder,0,42,0.30,0.23,0.03
13,C25,320,Pancreas,0,321,2.3,1.7,0.26
14,C32,320,Larynx,0,55,0.38,0.30,0.04
15,C33-34,320,"Trachea, bronchus and lung",0,512,3.5,2.8,0.39
16,C43,320,Melanoma of skin,0,30,0.20,0.16,0.02
18,C45,320,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,320,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,320,Breast,0,532,6.8,5.7,0.74
21,C51,320,Vulva,0,8,0.10,0.08,0.01
22,C52,320,Vagina,0,7,0.08,0.07,0.01
23,C53,320,Cervix uteri,0,973,12.5,10.3,1.4
24,C54,320,Corpus uteri,0,43,0.58,0.46,0.07
25,C56,320,Ovary,0,153,2.0,1.6,0.23
26,C60,320,Penis,0,7,0.11,0.08,0.01
27,C61,320,Prostate,0,807,11.2,8.8,0.83
28,C62,320,Testis,0,48,0.52,0.52,0.04
29,C64,320,Kidney,0,125,0.92,0.67,0.11
30,C67,320,Bladder,0,62,0.43,0.33,0.05
31,C70-72,320," Brain, central nervous system",0,217,1.5,1.2,0.16
32,C73,320,Thyroid,0,76,0.56,0.41,0.07
33,C81,320,Hodgkin lymphoma,0,42,0.26,0.23,0.03
34,C82-86+C88,320,Non-Hodgkin lymphoma,0,209,1.5,1.1,0.18
35,C90,320,Multiple myeloma,0,50,0.38,0.27,0.05
36,C91-95,320,Leukaemia,0,654,3.9,3.5,0.36
