Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,430,All cancers excl. non-melanoma skin cancer,0,2699,82.9,50.9,8.7
1,C00-06,430,"Lip, oral cavity",0,28,0.87,0.53,0.09
2,C07-08,430,Salivary glands,0,6,0.19,0.11,0.02
3,C09-10,430,Oropharynx,0,2,0.07,0.04,0.01
4,C11,430,Nasopharynx,0,8,0.18,0.15,0.02
5,C12-13,430,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,430,Oesophagus,0,19,0.59,0.36,0.07
7,C16,430,Stomach,0,128,4.1,2.4,0.47
41,C18-C21,430,Colorectum,0,108,3.4,2.0,0.37
11,C22,430,Liver and intrahepatic bile ducts,0,494,14.5,9.3,1.6
12,C23,430,Gallbladder,0,9,0.25,0.17,0.03
13,C25,430,Pancreas,0,40,1.4,0.75,0.17
14,C32,430,Larynx,0,21,0.70,0.40,0.08
15,C33-34,430,"Trachea, bronchus and lung",0,83,2.6,1.6,0.29
16,C43,430,Melanoma of skin,0,8,0.27,0.15,0.03
18,C45,430,Mesothelioma,0,1,0.04,0.02,0.01
19,C46,430,Kaposi sarcoma,0,18,0.42,0.34,0.04
20,C50,430,Breast,0,351,19.5,13.3,2.1
21,C51,430,Vulva,0,3,0.16,0.11,0.02
22,C52,430,Vagina,0,8,0.44,0.30,0.05
23,C53,430,Cervix uteri,0,478,28.3,18.1,3.1
24,C54,430,Corpus uteri,0,19,1.3,0.72,0.13
25,C56,430,Ovary,0,42,2.5,1.6,0.30
26,C60,430,Penis,0,1,0.03,0.04,0.00
27,C61,430,Prostate,0,258,22.4,9.7,2.4
28,C62,430,Testis,0,0,0.00,0.00,0.00
29,C64,430,Kidney,0,24,0.54,0.45,0.05
30,C67,430,Bladder,0,11,0.41,0.21,0.05
31,C70-72,430," Brain, central nervous system",0,55,1.9,1.0,0.19
32,C73,430,Thyroid,0,9,0.33,0.17,0.05
33,C81,430,Hodgkin lymphoma,0,11,0.19,0.21,0.01
34,C82-86+C88,430,Non-Hodgkin lymphoma,0,100,2.6,1.9,0.26
35,C90,430,Multiple myeloma,0,15,0.51,0.28,0.07
36,C91-95,430,Leukaemia,0,39,1.0,0.74,0.10
