Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,434,All cancers excl. non-melanoma skin cancer,0,5291,90.6,75.2,8.7
1,C00-06,434,"Lip, oral cavity",0,30,0.51,0.43,0.06
2,C07-08,434,Salivary glands,0,7,0.09,0.10,0.01
3,C09-10,434,Oropharynx,0,5,0.11,0.07,0.01
4,C11,434,Nasopharynx,0,86,1.4,1.2,0.17
5,C12-13,434,Hypopharynx,0,3,0.04,0.04,0.00
6,C15,434,Oesophagus,0,46,0.80,0.65,0.10
7,C16,434,Stomach,0,203,3.5,2.9,0.39
41,C18-C21,434,Colorectum,0,660,11.7,9.4,0.90
11,C22,434,Liver and intrahepatic bile ducts,0,249,4.5,3.5,0.51
12,C23,434,Gallbladder,0,111,1.8,1.6,0.16
13,C25,434,Pancreas,0,203,3.5,2.9,0.39
14,C32,434,Larynx,0,126,2.2,1.8,0.23
15,C33-34,434,"Trachea, bronchus and lung",0,857,15.2,12.2,1.7
16,C43,434,Melanoma of skin,0,9,0.14,0.13,0.02
18,C45,434,Mesothelioma,0,8,0.13,0.11,0.01
19,C46,434,Kaposi sarcoma,0,6,0.11,0.09,0.02
20,C50,434,Breast,0,460,13.3,13.2,1.4
21,C51,434,Vulva,0,7,0.22,0.20,0.01
22,C52,434,Vagina,0,7,0.21,0.20,0.02
23,C53,434,Cervix uteri,0,169,5.1,4.8,0.56
24,C54,434,Corpus uteri,0,13,0.50,0.37,0.08
25,C56,434,Ovary,0,126,3.9,3.6,0.43
26,C60,434,Penis,0,0,0.00,0.00,0.00
27,C61,434,Prostate,0,184,8.0,5.2,0.42
28,C62,434,Testis,0,5,0.14,0.14,0.01
29,C64,434,Kidney,0,94,1.7,1.3,0.15
30,C67,434,Bladder,0,266,5.1,3.8,0.44
31,C70-72,434," Brain, central nervous system",0,250,3.8,3.6,0.47
32,C73,434,Thyroid,0,40,0.77,0.57,0.04
33,C81,434,Hodgkin lymphoma,0,43,0.66,0.61,0.04
34,C82-86+C88,434,Non-Hodgkin lymphoma,0,222,3.9,3.2,0.36
35,C90,434,Multiple myeloma,0,70,1.3,0.99,0.14
36,C91-95,434,Leukaemia,0,238,4.0,3.4,0.40
