Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,372,All cancers excl. non-melanoma skin cancer,0,26884,307.0,535.5,29.8
1,C00-06,372,"Lip, oral cavity",0,340,4.1,6.8,0.50
2,C07-08,372,Salivary glands,0,58,0.64,1.2,0.07
3,C09-10,372,Oropharynx,0,123,1.6,2.5,0.20
4,C11,372,Nasopharynx,0,32,0.36,0.64,0.04
5,C12-13,372,Hypopharynx,0,57,0.64,1.1,0.09
6,C15,372,Oesophagus,0,520,5.3,10.4,0.63
7,C16,372,Stomach,0,534,5.3,10.6,0.55
41,C18-C21,372,Colorectum,0,3121,32.3,62.2,3.6
11,C22,372,Liver and intrahepatic bile ducts,0,564,5.7,11.2,0.62
12,C23,372,Gallbladder,0,84,0.77,1.7,0.09
13,C25,372,Pancreas,0,694,6.9,13.8,0.80
14,C32,372,Larynx,0,203,2.3,4.0,0.29
15,C33-34,372,"Trachea, bronchus and lung",0,3086,31.4,61.5,3.8
16,C43,372,Melanoma of skin,0,1567,18.1,31.2,1.9
18,C45,372,Mesothelioma,0,59,0.54,1.2,0.07
19,C46,372,Kaposi sarcoma,0,6,0.10,0.12,0.01
20,C50,372,Breast,0,3723,92.1,147.4,9.8
21,C51,372,Vulva,0,73,1.6,2.9,0.18
22,C52,372,Vagina,0,13,0.24,0.51,0.03
23,C53,372,Cervix uteri,0,242,7.5,9.6,0.69
24,C54,372,Corpus uteri,0,700,15.8,27.7,2.0
25,C56,372,Ovary,0,444,9.9,17.6,1.1
26,C60,372,Penis,0,51,1.2,2.1,0.14
27,C61,372,Prostate,0,4216,99.8,169.1,12.5
28,C62,372,Testis,0,173,6.6,6.9,0.53
29,C64,372,Kidney,0,883,10.4,17.6,1.2
30,C67,372,Bladder,0,986,9.6,19.6,1.1
31,C70-72,372," Brain, central nervous system",0,429,6.1,8.6,0.59
32,C73,372,Thyroid,0,353,5.3,7.0,0.52
33,C81,372,Hodgkin lymphoma,0,183,3.2,3.7,0.27
34,C82-86+C88,372,Non-Hodgkin lymphoma,0,1028,11.6,20.5,1.3
35,C90,372,Multiple myeloma,0,438,4.5,8.7,0.54
36,C91-95,372,Leukaemia,0,568,7.4,11.3,0.69
