Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,450,All cancers excl. non-melanoma skin cancer,0,14034,82.2,48.1,8.5
1,C00-06,450,"Lip, oral cavity",0,254,1.6,0.87,0.17
2,C07-08,450,Salivary glands,0,60,0.37,0.21,0.04
3,C09-10,450,Oropharynx,0,117,0.62,0.40,0.07
4,C11,450,Nasopharynx,0,68,0.40,0.23,0.04
5,C12-13,450,Hypopharynx,0,109,0.75,0.37,0.08
6,C15,450,Oesophagus,0,621,3.9,2.1,0.46
7,C16,450,Stomach,0,601,4.0,2.1,0.47
41,C18-C21,450,Colorectum,0,664,4.2,2.3,0.46
11,C22,450,Liver and intrahepatic bile ducts,0,985,5.2,3.4,0.56
12,C23,450,Gallbladder,0,24,0.17,0.08,0.02
13,C25,450,Pancreas,0,202,1.3,0.69,0.15
14,C32,450,Larynx,0,75,0.49,0.26,0.06
15,C33-34,450,"Trachea, bronchus and lung",0,305,1.9,1.1,0.23
16,C43,450,Melanoma of skin,0,78,0.55,0.27,0.05
18,C45,450,Mesothelioma,0,13,0.07,0.04,0.01
19,C46,450,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,450,Breast,0,1498,16.4,10.3,1.8
21,C51,450,Vulva,0,116,1.2,0.79,0.12
22,C52,450,Vagina,0,34,0.38,0.23,0.04
23,C53,450,Cervix uteri,0,2690,30.0,18.4,3.3
24,C54,450,Corpus uteri,0,53,0.68,0.36,0.08
25,C56,450,Ovary,0,190,2.2,1.3,0.26
26,C60,450,Penis,0,4,0.04,0.03,0.00
27,C61,450,Prostate,0,1404,22.9,9.6,2.4
28,C62,450,Testis,0,10,0.12,0.07,0.02
29,C64,450,Kidney,0,168,0.69,0.58,0.06
30,C67,450,Bladder,0,438,3.0,1.5,0.32
31,C70-72,450," Brain, central nervous system",0,213,1.0,0.73,0.09
32,C73,450,Thyroid,0,70,0.47,0.24,0.05
33,C81,450,Hodgkin lymphoma,0,74,0.32,0.25,0.03
34,C82-86+C88,450,Non-Hodgkin lymphoma,0,474,2.4,1.6,0.23
35,C90,450,Multiple myeloma,0,48,0.29,0.16,0.03
36,C91-95,450,Leukaemia,0,476,2.4,1.6,0.23
