Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,478,All cancers excl. non-melanoma skin cancer,0,2207,73.8,45.0,7.9
1,C00-06,478,"Lip, oral cavity",0,32,1.2,0.65,0.14
2,C07-08,478,Salivary glands,0,17,0.61,0.35,0.09
3,C09-10,478,Oropharynx,0,5,0.19,0.10,0.02
4,C11,478,Nasopharynx,0,12,0.35,0.24,0.04
5,C12-13,478,Hypopharynx,0,1,0.03,0.02,0.00
6,C15,478,Oesophagus,0,48,1.8,0.98,0.19
7,C16,478,Stomach,0,137,4.8,2.8,0.55
41,C18-C21,478,Colorectum,0,135,4.6,2.8,0.51
11,C22,478,Liver and intrahepatic bile ducts,0,281,9.1,5.7,0.98
12,C23,478,Gallbladder,0,14,0.44,0.29,0.05
13,C25,478,Pancreas,0,48,1.8,0.98,0.20
14,C32,478,Larynx,0,14,0.50,0.29,0.06
15,C33-34,478,"Trachea, bronchus and lung",0,51,1.8,1.0,0.22
16,C43,478,Melanoma of skin,0,8,0.34,0.16,0.06
18,C45,478,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,478,Kaposi sarcoma,0,14,0.35,0.29,0.03
20,C50,478,Breast,0,315,18.5,12.9,2.0
21,C51,478,Vulva,0,7,0.38,0.29,0.04
22,C52,478,Vagina,0,3,0.20,0.12,0.03
23,C53,478,Cervix uteri,0,302,19.5,12.4,2.2
24,C54,478,Corpus uteri,0,14,1.0,0.57,0.12
25,C56,478,Ovary,0,58,3.8,2.4,0.45
26,C60,478,Penis,0,0,0.00,0.00,0.00
27,C61,478,Prostate,0,146,14.7,5.9,1.6
28,C62,478,Testis,0,3,0.19,0.12,0.02
29,C64,478,Kidney,0,31,0.87,0.63,0.10
30,C67,478,Bladder,0,37,1.4,0.75,0.15
31,C70-72,478," Brain, central nervous system",0,36,1.2,0.73,0.13
32,C73,478,Thyroid,0,12,0.44,0.24,0.05
33,C81,478,Hodgkin lymphoma,0,8,0.15,0.16,0.01
34,C82-86+C88,478,Non-Hodgkin lymphoma,0,65,1.8,1.3,0.19
35,C90,478,Multiple myeloma,0,27,0.98,0.55,0.13
36,C91-95,478,Leukaemia,0,45,1.3,0.92,0.14
