Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,480,All cancers excl. non-melanoma skin cancer,0,1469,66.6,115.2,7.1
1,C00-06,480,"Lip, oral cavity",0,31,1.4,2.4,0.17
2,C07-08,480,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,480,Oropharynx,0,15,0.70,1.2,0.08
4,C11,480,Nasopharynx,0,6,0.30,0.47,0.04
5,C12-13,480,Hypopharynx,0,6,0.28,0.47,0.03
6,C15,480,Oesophagus,0,36,1.6,2.8,0.18
7,C16,480,Stomach,0,92,4.1,7.2,0.46
41,C18-C21,480,Colorectum,0,173,7.6,13.6,0.82
11,C22,480,Liver and intrahepatic bile ducts,0,59,2.6,4.6,0.30
12,C23,480,Gallbladder,0,13,0.54,1.0,0.07
13,C25,480,Pancreas,0,65,2.9,5.1,0.35
14,C32,480,Larynx,0,22,1.0,1.7,0.13
15,C33-34,480,"Trachea, bronchus and lung",0,176,7.8,13.8,0.94
16,C43,480,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,480,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,480,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,480,Breast,0,209,19.0,32.3,2.1
21,C51,480,Vulva,0,6,0.47,0.93,0.07
22,C52,480,Vagina,0,0,0.00,0.00,0.00
23,C53,480,Cervix uteri,0,67,5.7,10.4,0.60
24,C54,480,Corpus uteri,0,28,2.3,4.3,0.31
25,C56,480,Ovary,0,52,4.6,8.0,0.57
26,C60,480,Penis,0,0,0.00,0.00,0.00
27,C61,480,Prostate,0,118,11.4,18.8,0.90
28,C62,480,Testis,0,1,0.16,0.16,0.01
29,C64,480,Kidney,0,24,1.1,1.9,0.13
30,C67,480,Bladder,0,30,1.2,2.4,0.11
31,C70-72,480," Brain, central nervous system",0,30,1.5,2.4,0.18
32,C73,480,Thyroid,0,9,0.39,0.71,0.05
33,C81,480,Hodgkin lymphoma,0,3,0.22,0.24,0.02
34,C82-86+C88,480,Non-Hodgkin lymphoma,0,23,1.2,1.8,0.11
35,C90,480,Multiple myeloma,0,20,0.87,1.6,0.09
36,C91-95,480,Leukaemia,0,47,2.5,3.7,0.24
