Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,504,All cancers excl. non-melanoma skin cancer,0,36754,85.5,97.3,9.0
1,C00-06,504,"Lip, oral cavity",0,386,0.90,1.0,0.09
2,C07-08,504,Salivary glands,0,97,0.23,0.26,0.02
3,C09-10,504,Oropharynx,0,61,0.14,0.16,0.02
4,C11,504,Nasopharynx,0,580,1.4,1.5,0.16
5,C12-13,504,Hypopharynx,0,72,0.16,0.19,0.02
6,C15,504,Oesophagus,0,415,0.96,1.1,0.11
7,C16,504,Stomach,0,2075,4.8,5.5,0.54
41,C18-C21,504,Colorectum,0,2892,6.7,7.7,0.73
11,C22,504,Liver and intrahepatic bile ducts,0,1047,2.4,2.8,0.28
12,C23,504,Gallbladder,0,373,0.85,0.99,0.10
13,C25,504,Pancreas,0,1181,2.7,3.1,0.34
14,C32,504,Larynx,0,793,1.8,2.1,0.23
15,C33-34,504,"Trachea, bronchus and lung",0,7970,18.5,21.1,2.2
16,C43,504,Melanoma of skin,0,118,0.27,0.31,0.03
18,C45,504,Mesothelioma,0,67,0.16,0.18,0.02
19,C46,504,Kaposi sarcoma,0,64,0.17,0.17,0.01
20,C50,504,Breast,0,4044,18.1,21.3,2.0
21,C51,504,Vulva,0,89,0.37,0.47,0.03
22,C52,504,Vagina,0,29,0.13,0.15,0.02
23,C53,504,Cervix uteri,0,1468,6.6,7.7,0.81
24,C54,504,Corpus uteri,0,211,0.93,1.1,0.13
25,C56,504,Ovary,0,919,4.2,4.8,0.51
26,C60,504,Penis,0,6,0.03,0.03,0.00
27,C61,504,Prostate,0,2030,10.8,10.8,0.59
28,C62,504,Testis,0,31,0.16,0.17,0.01
29,C64,504,Kidney,0,412,1.0,1.1,0.10
30,C67,504,Bladder,0,1222,2.8,3.2,0.30
31,C70-72,504," Brain, central nervous system",0,1119,2.7,3.0,0.28
32,C73,504,Thyroid,0,356,0.81,0.94,0.08
33,C81,504,Hodgkin lymphoma,0,253,0.61,0.67,0.06
34,C82-86+C88,504,Non-Hodgkin lymphoma,0,1323,3.1,3.5,0.33
35,C90,504,Multiple myeloma,0,482,1.1,1.3,0.12
36,C91-95,504,Leukaemia,0,1078,2.6,2.9,0.25
