Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,558,All cancers excl. non-melanoma skin cancer,0,4782,76.1,70.5,7.9
1,C00-06,558,"Lip, oral cavity",0,25,0.40,0.37,0.05
2,C07-08,558,Salivary glands,0,9,0.14,0.13,0.01
3,C09-10,558,Oropharynx,0,19,0.31,0.28,0.04
4,C11,558,Nasopharynx,0,19,0.31,0.28,0.04
5,C12-13,558,Hypopharynx,0,5,0.08,0.07,0.00
6,C15,558,Oesophagus,0,43,0.69,0.63,0.07
7,C16,558,Stomach,0,491,7.8,7.2,0.85
41,C18-C21,558,Colorectum,0,365,5.8,5.4,0.63
11,C22,558,Liver and intrahepatic bile ducts,0,576,9.4,8.5,1.1
12,C23,558,Gallbladder,0,75,1.2,1.1,0.14
13,C25,558,Pancreas,0,215,3.5,3.2,0.41
14,C32,558,Larynx,0,58,0.95,0.86,0.13
15,C33-34,558,"Trachea, bronchus and lung",0,311,5.1,4.6,0.58
16,C43,558,Melanoma of skin,0,25,0.40,0.37,0.05
18,C45,558,Mesothelioma,0,2,0.04,0.03,0.00
19,C46,558,Kaposi sarcoma,0,4,0.06,0.06,0.00
20,C50,558,Breast,0,366,10.6,10.7,1.2
21,C51,558,Vulva,0,11,0.30,0.32,0.02
22,C52,558,Vagina,0,8,0.23,0.23,0.02
23,C53,558,Cervix uteri,0,345,9.9,10.0,1.1
24,C54,558,Corpus uteri,0,44,1.3,1.3,0.17
25,C56,558,Ovary,0,85,2.5,2.5,0.28
26,C60,558,Penis,0,20,0.74,0.60,0.08
27,C61,558,Prostate,0,354,13.1,10.6,1.1
28,C62,558,Testis,0,16,0.45,0.48,0.03
29,C64,558,Kidney,0,78,1.3,1.2,0.15
30,C67,558,Bladder,0,36,0.58,0.53,0.06
31,C70-72,558," Brain, central nervous system",0,140,2.2,2.1,0.22
32,C73,558,Thyroid,0,52,0.84,0.77,0.09
33,C81,558,Hodgkin lymphoma,0,29,0.44,0.43,0.04
34,C82-86+C88,558,Non-Hodgkin lymphoma,0,163,2.6,2.4,0.29
35,C90,558,Multiple myeloma,0,34,0.58,0.50,0.08
36,C91-95,558,Leukaemia,0,309,4.7,4.6,0.39
