Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,728,All cancers excl. non-melanoma skin cancer,0,5010,75.1,43.1,8.0
1,C00-06,728,"Lip, oral cavity",0,88,1.3,0.76,0.15
2,C07-08,728,Salivary glands,0,22,0.38,0.19,0.04
3,C09-10,728,Oropharynx,0,11,0.18,0.09,0.03
4,C11,728,Nasopharynx,0,83,1.2,0.71,0.13
5,C12-13,728,Hypopharynx,0,10,0.18,0.09,0.03
6,C15,728,Oesophagus,0,336,5.5,2.9,0.63
7,C16,728,Stomach,0,233,3.7,2.0,0.40
41,C18-C21,728,Colorectum,0,291,4.5,2.5,0.51
11,C22,728,Liver and intrahepatic bile ducts,0,344,5.1,3.0,0.57
12,C23,728,Gallbladder,0,39,0.66,0.34,0.08
13,C25,728,Pancreas,0,103,1.7,0.89,0.19
14,C32,728,Larynx,0,47,0.78,0.40,0.10
15,C33-34,728,"Trachea, bronchus and lung",0,120,2.0,1.0,0.24
16,C43,728,Melanoma of skin,0,25,0.44,0.22,0.05
18,C45,728,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,728,Kaposi sarcoma,0,101,1.2,0.87,0.12
20,C50,728,Breast,0,657,17.6,11.3,1.9
21,C51,728,Vulva,0,18,0.56,0.31,0.07
22,C52,728,Vagina,0,7,0.22,0.12,0.03
23,C53,728,Cervix uteri,0,593,17.6,10.2,2.1
24,C54,728,Corpus uteri,0,30,0.94,0.52,0.11
25,C56,728,Ovary,0,125,3.6,2.2,0.43
26,C60,728,Penis,0,13,0.40,0.22,0.03
27,C61,728,Prostate,0,367,14.2,6.3,1.3
28,C62,728,Testis,0,8,0.23,0.14,0.03
29,C64,728,Kidney,0,86,1.1,0.74,0.11
30,C67,728,Bladder,0,64,1.1,0.55,0.12
31,C70-72,728," Brain, central nervous system",0,92,1.2,0.79,0.13
32,C73,728,Thyroid,0,48,0.77,0.41,0.09
33,C81,728,Hodgkin lymphoma,0,25,0.20,0.22,0.01
34,C82-86+C88,728,Non-Hodgkin lymphoma,0,197,2.7,1.7,0.29
35,C90,728,Multiple myeloma,0,59,0.99,0.51,0.12
36,C91-95,728,Leukaemia,0,107,1.4,0.92,0.15
