Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,729,All cancers excl. non-melanoma skin cancer,0,18216,63.3,39.6,6.5
1,C00-06,729,"Lip, oral cavity",0,262,0.89,0.57,0.09
2,C07-08,729,Salivary glands,0,73,0.28,0.16,0.02
3,C09-10,729,Oropharynx,0,14,0.05,0.03,0.01
4,C11,729,Nasopharynx,0,347,1.2,0.75,0.12
5,C12-13,729,Hypopharynx,0,47,0.17,0.10,0.02
6,C15,729,Oesophagus,0,785,2.8,1.7,0.35
7,C16,729,Stomach,0,557,2.1,1.2,0.22
41,C18-C21,729,Colorectum,0,1084,3.7,2.4,0.33
11,C22,729,Liver and intrahepatic bile ducts,0,1200,4.3,2.6,0.49
12,C23,729,Gallbladder,0,223,0.88,0.48,0.10
13,C25,729,Pancreas,0,260,0.98,0.57,0.11
14,C32,729,Larynx,0,229,0.85,0.50,0.10
15,C33-34,729,"Trachea, bronchus and lung",0,623,2.4,1.4,0.26
16,C43,729,Melanoma of skin,0,88,0.34,0.19,0.04
18,C45,729,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,729,Kaposi sarcoma,0,29,0.12,0.06,0.01
20,C50,729,Breast,0,3243,20.7,14.1,2.1
21,C51,729,Vulva,0,72,0.52,0.31,0.06
22,C52,729,Vagina,0,20,0.13,0.09,0.02
23,C53,729,Cervix uteri,0,738,5.2,3.2,0.60
24,C54,729,Corpus uteri,0,111,0.83,0.48,0.11
25,C56,729,Ovary,0,659,4.4,2.9,0.54
26,C60,729,Penis,0,10,0.09,0.04,0.02
27,C61,729,Prostate,0,716,6.1,3.1,0.58
28,C62,729,Testis,0,31,0.22,0.13,0.04
29,C64,729,Kidney,0,448,1.5,0.97,0.15
30,C67,729,Bladder,0,363,1.4,0.79,0.14
31,C70-72,729," Brain, central nervous system",0,385,1.1,0.84,0.12
32,C73,729,Thyroid,0,184,0.73,0.40,0.06
33,C81,729,Hodgkin lymphoma,0,139,0.39,0.30,0.04
34,C82-86+C88,729,Non-Hodgkin lymphoma,0,1004,3.5,2.2,0.33
35,C90,729,Multiple myeloma,0,278,1.0,0.60,0.11
36,C91-95,729,Leukaemia,0,985,3.2,2.1,0.34
