Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,834,All cancers excl. non-melanoma skin cancer,0,29467,96.2,46.6,10.1
1,C00-06,834,"Lip, oral cavity",0,456,1.7,0.72,0.17
2,C07-08,834,Salivary glands,0,128,0.49,0.20,0.05
3,C09-10,834,Oropharynx,0,62,0.21,0.10,0.03
4,C11,834,Nasopharynx,0,245,0.79,0.39,0.08
5,C12-13,834,Hypopharynx,0,163,0.61,0.26,0.07
6,C15,834,Oesophagus,0,3350,11.4,5.3,1.3
7,C16,834,Stomach,0,1032,3.7,1.6,0.45
41,C18-C21,834,Colorectum,0,1472,4.8,2.3,0.52
11,C22,834,Liver and intrahepatic bile ducts,0,1089,3.3,1.7,0.38
12,C23,834,Gallbladder,0,97,0.36,0.15,0.03
13,C25,834,Pancreas,0,494,1.7,0.78,0.21
14,C32,834,Larynx,0,180,0.68,0.28,0.07
15,C33-34,834,"Trachea, bronchus and lung",0,693,2.2,1.1,0.26
16,C43,834,Melanoma of skin,0,165,0.63,0.26,0.06
18,C45,834,Mesothelioma,0,44,0.16,0.07,0.03
19,C46,834,Kaposi sarcoma,0,817,2.0,1.3,0.20
20,C50,834,Breast,0,2255,12.9,7.1,1.5
21,C51,834,Vulva,0,137,0.67,0.43,0.07
22,C52,834,Vagina,0,72,0.45,0.23,0.05
23,C53,834,Cervix uteri,0,6832,42.2,21.6,4.6
24,C54,834,Corpus uteri,0,119,0.80,0.38,0.11
25,C56,834,Ovary,0,510,3.0,1.6,0.37
26,C60,834,Penis,0,68,0.59,0.21,0.06
27,C61,834,Prostate,0,2808,28.1,8.9,2.7
28,C62,834,Testis,0,9,0.06,0.03,0.01
29,C64,834,Kidney,0,455,1.1,0.72,0.10
30,C67,834,Bladder,0,613,2.3,0.97,0.24
31,C70-72,834," Brain, central nervous system",0,163,0.42,0.26,0.04
32,C73,834,Thyroid,0,152,0.59,0.24,0.06
33,C81,834,Hodgkin lymphoma,0,227,0.71,0.36,0.06
34,C82-86+C88,834,Non-Hodgkin lymphoma,0,898,2.5,1.4,0.25
35,C90,834,Multiple myeloma,0,115,0.41,0.18,0.05
36,C91-95,834,Leukaemia,0,527,1.3,0.83,0.13
