Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,780,All cancers excl. non-melanoma skin cancer,0,2216,96.7,157.5,9.7
1,C00-06,780,"Lip, oral cavity",0,23,1.0,1.6,0.11
2,C07-08,780,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,780,Oropharynx,0,7,0.34,0.50,0.04
4,C11,780,Nasopharynx,0,4,0.18,0.28,0.02
5,C12-13,780,Hypopharynx,0,2,0.10,0.14,0.01
6,C15,780,Oesophagus,0,28,1.2,2.0,0.15
7,C16,780,Stomach,0,70,3.0,5.0,0.33
41,C18-C21,780,Colorectum,0,248,10.5,17.6,1.1
11,C22,780,Liver and intrahepatic bile ducts,0,59,2.6,4.2,0.31
12,C23,780,Gallbladder,0,13,0.55,0.92,0.05
13,C25,780,Pancreas,0,103,4.2,7.3,0.44
14,C32,780,Larynx,0,20,0.84,1.4,0.09
15,C33-34,780,"Trachea, bronchus and lung",0,216,9.5,15.4,1.1
16,C43,780,Melanoma of skin,0,3,0.11,0.21,0.01
18,C45,780,Mesothelioma,0,2,0.08,0.14,0.02
19,C46,780,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,780,Breast,0,255,22.1,35.8,2.3
21,C51,780,Vulva,0,3,0.20,0.42,0.02
22,C52,780,Vagina,0,2,0.15,0.28,0.01
23,C53,780,Cervix uteri,0,122,11.2,17.1,1.2
24,C54,780,Corpus uteri,0,80,6.4,11.2,0.85
25,C56,780,Ovary,0,81,7.3,11.4,0.89
26,C60,780,Penis,0,1,0.10,0.14,0.01
27,C61,780,Prostate,0,370,32.3,53.3,2.4
28,C62,780,Testis,0,1,0.18,0.14,0.01
29,C64,780,Kidney,0,33,1.4,2.4,0.20
30,C67,780,Bladder,0,43,1.8,3.1,0.21
31,C70-72,780," Brain, central nervous system",0,24,1.2,1.7,0.12
32,C73,780,Thyroid,0,7,0.32,0.50,0.04
33,C81,780,Hodgkin lymphoma,0,5,0.28,0.36,0.02
34,C82-86+C88,780,Non-Hodgkin lymphoma,0,59,3.0,4.2,0.30
35,C90,780,Multiple myeloma,0,51,2.2,3.6,0.26
36,C91-95,780,Leukaemia,0,64,3.3,4.6,0.32
