Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,858,All cancers excl. non-melanoma skin cancer,0,8933,127.8,255.5,13.7
1,C00-06,858,"Lip, oral cavity",0,83,1.3,2.4,0.15
2,C07-08,858,Salivary glands,0,16,0.17,0.46,0.02
3,C09-10,858,Oropharynx,0,26,0.43,0.74,0.06
4,C11,858,Nasopharynx,0,9,0.14,0.26,0.02
5,C12-13,858,Hypopharynx,0,7,0.11,0.20,0.01
6,C15,858,Oesophagus,0,241,3.5,6.9,0.42
7,C16,858,Stomach,0,420,6.1,12.0,0.71
41,C18-C21,858,Colorectum,0,1140,14.6,32.6,1.6
11,C22,858,Liver and intrahepatic bile ducts,0,159,2.5,4.6,0.32
12,C23,858,Gallbladder,0,80,1.1,2.3,0.13
13,C25,858,Pancreas,0,686,9.4,19.6,1.1
14,C32,858,Larynx,0,127,2.1,3.6,0.27
15,C33-34,858,"Trachea, bronchus and lung",0,1574,25.4,45.0,3.3
16,C43,858,Melanoma of skin,0,81,1.1,2.3,0.12
18,C45,858,Mesothelioma,0,12,0.17,0.34,0.02
19,C46,858,Kaposi sarcoma,0,1,0.03,0.03,0.00
20,C50,858,Breast,0,777,21.6,43.0,2.4
21,C51,858,Vulva,0,21,0.40,1.2,0.04
22,C52,858,Vagina,0,5,0.09,0.28,0.01
23,C53,858,Cervix uteri,0,160,5.2,8.9,0.53
24,C54,858,Corpus uteri,0,100,2.3,5.5,0.27
25,C56,858,Ovary,0,164,4.6,9.1,0.55
26,C60,858,Penis,0,14,0.46,0.83,0.05
27,C61,858,Prostate,0,640,17.8,37.9,1.4
28,C62,858,Testis,0,14,0.67,0.83,0.05
29,C64,858,Kidney,0,317,4.6,9.1,0.56
30,C67,858,Bladder,0,268,3.2,7.7,0.34
31,C70-72,858," Brain, central nervous system",0,208,3.8,6.0,0.43
32,C73,858,Thyroid,0,20,0.22,0.57,0.02
33,C81,858,Hodgkin lymphoma,0,16,0.27,0.46,0.02
34,C82-86+C88,858,Non-Hodgkin lymphoma,0,234,3.5,6.7,0.39
35,C90,858,Multiple myeloma,0,134,1.8,3.8,0.21
36,C91-95,858,Leukaemia,0,233,3.3,6.7,0.33
