Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,894,All cancers excl. non-melanoma skin cancer,0,9694,108.2,49.8,11.2
1,C00-06,894,"Lip, oral cavity",0,71,0.90,0.36,0.10
2,C07-08,894,Salivary glands,0,44,0.61,0.23,0.07
3,C09-10,894,Oropharynx,0,14,0.18,0.07,0.02
4,C11,894,Nasopharynx,0,35,0.41,0.18,0.05
5,C12-13,894,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,894,Oesophagus,0,491,6.2,2.5,0.71
7,C16,894,Stomach,0,257,3.4,1.3,0.38
41,C18-C21,894,Colorectum,0,307,3.6,1.6,0.41
11,C22,894,Liver and intrahepatic bile ducts,0,384,4.4,2.0,0.52
12,C23,894,Gallbladder,0,14,0.18,0.07,0.02
13,C25,894,Pancreas,0,102,1.3,0.52,0.16
14,C32,894,Larynx,0,55,0.69,0.28,0.09
15,C33-34,894,"Trachea, bronchus and lung",0,204,2.8,1.1,0.33
16,C43,894,Melanoma of skin,0,19,0.22,0.10,0.03
18,C45,894,Mesothelioma,0,2,0.02,0.01,0.00
19,C46,894,Kaposi sarcoma,0,1475,9.5,7.6,0.83
20,C50,894,Breast,0,507,10.8,5.2,1.2
21,C51,894,Vulva,0,64,1.2,0.65,0.13
22,C52,894,Vagina,0,26,0.57,0.26,0.06
23,C53,894,Cervix uteri,0,2285,49.4,23.3,5.5
24,C54,894,Corpus uteri,0,18,0.48,0.18,0.06
25,C56,894,Ovary,0,138,2.8,1.4,0.34
26,C60,894,Penis,0,67,1.6,0.69,0.19
27,C61,894,Prostate,0,863,37.6,9.0,3.7
28,C62,894,Testis,0,3,0.06,0.03,0.01
29,C64,894,Kidney,0,74,0.55,0.38,0.05
30,C67,894,Bladder,0,129,1.9,0.66,0.20
31,C70-72,894," Brain, central nervous system",0,200,1.9,1.0,0.19
32,C73,894,Thyroid,0,23,0.38,0.12,0.04
33,C81,894,Hodgkin lymphoma,0,45,0.49,0.23,0.05
34,C82-86+C88,894,Non-Hodgkin lymphoma,0,260,2.6,1.3,0.28
35,C90,894,Multiple myeloma,0,29,0.30,0.15,0.03
36,C91-95,894,Leukaemia,0,156,1.2,0.80,0.10
