Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,716,All cancers excl. non-melanoma skin cancer,0,11599,142.1,75.7,15.0
1,C00-06,716,"Lip, oral cavity",0,66,0.87,0.43,0.11
2,C07-08,716,Salivary glands,0,23,0.30,0.15,0.04
3,C09-10,716,Oropharynx,0,14,0.16,0.09,0.02
4,C11,716,Nasopharynx,0,39,0.41,0.25,0.05
5,C12-13,716,Hypopharynx,0,7,0.11,0.05,0.03
6,C15,716,Oesophagus,0,837,11.5,5.5,1.4
7,C16,716,Stomach,0,648,9.1,4.2,1.1
41,C18-C21,716,Colorectum,0,524,6.8,3.4,0.78
11,C22,716,Liver and intrahepatic bile ducts,0,596,7.4,3.9,0.86
12,C23,716,Gallbladder,0,38,0.52,0.25,0.06
13,C25,716,Pancreas,0,188,2.6,1.2,0.30
14,C32,716,Larynx,0,59,0.81,0.38,0.11
15,C33-34,716,"Trachea, bronchus and lung",0,394,5.5,2.6,0.66
16,C43,716,Melanoma of skin,0,69,0.95,0.45,0.11
18,C45,716,Mesothelioma,0,2,0.03,0.01,0.00
19,C46,716,Kaposi sarcoma,0,656,5.5,4.3,0.51
20,C50,716,Breast,0,915,18.6,11.4,2.1
21,C51,716,Vulva,0,80,1.5,1.0,0.17
22,C52,716,Vagina,0,26,0.51,0.32,0.05
23,C53,716,Cervix uteri,0,2318,47.9,28.9,5.4
24,C54,716,Corpus uteri,0,108,2.5,1.4,0.26
25,C56,716,Ovary,0,228,5.0,2.9,0.59
26,C60,716,Penis,0,49,1.4,0.67,0.14
27,C61,716,Prostate,0,887,37.2,12.1,3.7
28,C62,716,Testis,0,4,0.07,0.05,0.01
29,C64,716,Kidney,0,103,1.1,0.67,0.12
30,C67,716,Bladder,0,102,1.4,0.67,0.16
31,C70-72,716," Brain, central nervous system",0,199,2.0,1.3,0.21
32,C73,716,Thyroid,0,43,0.62,0.28,0.05
33,C81,716,Hodgkin lymphoma,0,40,0.36,0.26,0.04
34,C82-86+C88,716,Non-Hodgkin lymphoma,0,724,7.4,4.7,0.78
35,C90,716,Multiple myeloma,0,220,3.1,1.4,0.39
36,C91-95,716,Leukaemia,0,231,2.3,1.5,0.24
