Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,8,All cancers excl. non-melanoma skin cancer,0,4900,89.8,171.0,10.3
1,C00-06,8,"Lip, oral cavity",0,44,0.76,1.5,0.09
2,C07-08,8,Salivary glands,0,11,0.18,0.38,0.02
3,C09-10,8,Oropharynx,0,15,0.30,0.52,0.04
4,C11,8,Nasopharynx,0,30,0.63,1.1,0.07
5,C12-13,8,Hypopharynx,0,9,0.18,0.31,0.03
6,C15,8,Oesophagus,0,72,1.4,2.5,0.18
7,C16,8,Stomach,0,560,9.9,19.5,1.2
41,C18-C21,8,Colorectum,0,292,4.9,10.2,0.56
11,C22,8,Liver and intrahepatic bile ducts,0,176,3.1,6.1,0.38
12,C23,8,Gallbladder,0,33,0.60,1.2,0.08
13,C25,8,Pancreas,0,290,5.1,10.1,0.63
14,C32,8,Larynx,0,104,2.0,3.6,0.24
15,C33-34,8,"Trachea, bronchus and lung",0,1264,24.2,44.1,3.1
16,C43,8,Melanoma of skin,0,34,0.65,1.2,0.07
18,C45,8,Mesothelioma,0,24,0.40,0.84,0.05
19,C46,8,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,8,Breast,0,412,14.6,29.3,1.7
21,C51,8,Vulva,0,15,0.46,1.1,0.06
22,C52,8,Vagina,0,8,0.23,0.57,0.03
23,C53,8,Cervix uteri,0,97,4.1,6.9,0.48
24,C54,8,Corpus uteri,0,62,2.1,4.4,0.26
25,C56,8,Ovary,0,129,4.8,9.2,0.57
26,C60,8,Penis,0,7,0.23,0.48,0.03
27,C61,8,Prostate,0,174,5.3,11.9,0.57
28,C62,8,Testis,0,6,0.37,0.41,0.03
29,C64,8,Kidney,0,80,1.5,2.8,0.18
30,C67,8,Bladder,0,196,3.1,6.8,0.34
31,C70-72,8," Brain, central nervous system",0,244,5.1,8.5,0.58
32,C73,8,Thyroid,0,8,0.14,0.28,0.02
33,C81,8,Hodgkin lymphoma,0,19,0.35,0.66,0.04
34,C82-86+C88,8,Non-Hodgkin lymphoma,0,49,0.86,1.7,0.11
35,C90,8,Multiple myeloma,0,53,0.98,1.9,0.12
36,C91-95,8,Leukaemia,0,197,4.0,6.9,0.42
