Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,51,All cancers excl. non-melanoma skin cancer,0,5824,116.1,196.0,12.9
1,C00-06,51,"Lip, oral cavity",0,32,0.64,1.1,0.08
2,C07-08,51,Salivary glands,0,12,0.27,0.40,0.03
3,C09-10,51,Oropharynx,0,7,0.15,0.24,0.02
4,C11,51,Nasopharynx,0,8,0.20,0.27,0.02
5,C12-13,51,Hypopharynx,0,4,0.07,0.13,0.01
6,C15,51,Oesophagus,0,53,1.0,1.8,0.14
7,C16,51,Stomach,0,463,9.1,15.6,1.1
41,C18-C21,51,Colorectum,0,517,9.7,17.4,1.1
11,C22,51,Liver and intrahepatic bile ducts,0,482,9.4,16.2,1.1
12,C23,51,Gallbladder,0,44,0.83,1.5,0.10
13,C25,51,Pancreas,0,428,8.4,14.4,1.0
14,C32,51,Larynx,0,89,1.8,3.0,0.24
15,C33-34,51,"Trachea, bronchus and lung",0,1187,23.7,39.9,2.9
16,C43,51,Melanoma of skin,0,20,0.41,0.67,0.03
18,C45,51,Mesothelioma,0,20,0.38,0.67,0.04
19,C46,51,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,51,Breast,0,453,16.1,28.8,1.9
21,C51,51,Vulva,0,8,0.21,0.51,0.01
22,C52,51,Vagina,0,5,0.18,0.32,0.03
23,C53,51,Cervix uteri,0,99,4.0,6.3,0.45
24,C54,51,Corpus uteri,0,149,5.1,9.5,0.63
25,C56,51,Ovary,0,110,3.9,7.0,0.47
26,C60,51,Penis,0,6,0.27,0.43,0.03
27,C61,51,Prostate,0,287,13.1,20.5,1.4
28,C62,51,Testis,0,6,0.34,0.43,0.03
29,C64,51,Kidney,0,112,2.2,3.8,0.25
30,C67,51,Bladder,0,189,3.3,6.4,0.32
31,C70-72,51," Brain, central nervous system",0,207,4.7,7.0,0.53
32,C73,51,Thyroid,0,39,0.72,1.3,0.08
33,C81,51,Hodgkin lymphoma,0,12,0.27,0.40,0.03
34,C82-86+C88,51,Non-Hodgkin lymphoma,0,54,1.2,1.8,0.15
35,C90,51,Multiple myeloma,0,31,0.65,1.0,0.09
36,C91-95,51,Leukaemia,0,142,3.2,4.8,0.38
