Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,31,All cancers excl. non-melanoma skin cancer,0,11226,92.5,109.0,10.1
1,C00-06,31,"Lip, oral cavity",0,92,0.79,0.89,0.08
2,C07-08,31,Salivary glands,0,45,0.34,0.44,0.03
3,C09-10,31,Oropharynx,0,24,0.21,0.23,0.03
4,C11,31,Nasopharynx,0,30,0.26,0.29,0.03
5,C12-13,31,Hypopharynx,0,15,0.10,0.15,0.01
6,C15,31,Oesophagus,0,846,7.0,8.2,0.81
7,C16,31,Stomach,0,1561,12.8,15.2,1.5
41,C18-C21,31,Colorectum,0,934,7.7,9.1,0.87
11,C22,31,Liver and intrahepatic bile ducts,0,589,4.8,5.7,0.58
12,C23,31,Gallbladder,0,51,0.43,0.50,0.06
13,C25,31,Pancreas,0,322,2.7,3.1,0.33
14,C32,31,Larynx,0,224,1.8,2.2,0.22
15,C33-34,31,"Trachea, bronchus and lung",0,1954,16.2,19.0,1.9
16,C43,31,Melanoma of skin,0,34,0.26,0.33,0.03
18,C45,31,Mesothelioma,0,24,0.20,0.23,0.03
19,C46,31,Kaposi sarcoma,0,12,0.09,0.12,0.01
20,C50,31,Breast,0,794,11.8,15.4,1.3
21,C51,31,Vulva,0,10,0.16,0.19,0.02
22,C52,31,Vagina,0,1,0.02,0.02,0.00
23,C53,31,Cervix uteri,0,325,4.8,6.3,0.55
24,C54,31,Corpus uteri,0,104,1.5,2.0,0.19
25,C56,31,Ovary,0,256,3.9,5.0,0.44
26,C60,31,Penis,0,1,0.02,0.02,0.01
27,C61,31,Prostate,0,269,5.7,5.2,0.58
28,C62,31,Testis,0,11,0.19,0.21,0.02
29,C64,31,Kidney,0,181,1.5,1.8,0.16
30,C67,31,Bladder,0,314,2.6,3.1,0.31
31,C70-72,31," Brain, central nervous system",0,544,4.4,5.3,0.49
32,C73,31,Thyroid,0,52,0.43,0.50,0.05
33,C81,31,Hodgkin lymphoma,0,78,0.68,0.76,0.06
34,C82-86+C88,31,Non-Hodgkin lymphoma,0,223,1.8,2.2,0.19
35,C90,31,Multiple myeloma,0,104,0.85,1.0,0.10
36,C91-95,31,Leukaemia,0,358,3.2,3.5,0.30
