Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,44,All cancers excl. non-melanoma skin cancer,0,552,109.2,137.8,11.4
1,C00-06,44,"Lip, oral cavity",0,5,0.99,1.3,0.13
2,C07-08,44,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,44,Oropharynx,0,1,0.23,0.25,0.04
4,C11,44,Nasopharynx,0,0,0.00,0.00,0.00
5,C12-13,44,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,44,Oesophagus,0,9,1.8,2.3,0.28
7,C16,44,Stomach,0,32,6.5,8.0,0.74
41,C18-C21,44,Colorectum,0,64,12.6,16.0,1.5
11,C22,44,Liver and intrahepatic bile ducts,0,18,3.5,4.5,0.42
12,C23,44,Gallbladder,0,4,0.79,1.0,0.12
13,C25,44,Pancreas,0,15,2.9,3.8,0.30
14,C32,44,Larynx,0,7,1.4,1.8,0.10
15,C33-34,44,"Trachea, bronchus and lung",0,36,7.0,9.0,0.81
16,C43,44,Melanoma of skin,0,1,0.17,0.25,0.00
18,C45,44,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,44,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,44,Breast,0,87,31.7,42.3,3.3
21,C51,44,Vulva,0,0,0.00,0.00,0.00
22,C52,44,Vagina,0,0,0.00,0.00,0.00
23,C53,44,Cervix uteri,0,33,12.0,16.0,1.3
24,C54,44,Corpus uteri,0,26,9.4,12.6,1.3
25,C56,44,Ovary,0,19,6.7,9.2,0.77
26,C60,44,Penis,0,1,0.35,0.51,0.04
27,C61,44,Prostate,0,74,33.9,38.0,2.8
28,C62,44,Testis,0,0,0.00,0.00,0.00
29,C64,44,Kidney,0,2,0.39,0.50,0.06
30,C67,44,Bladder,0,4,0.78,1.0,0.10
31,C70-72,44," Brain, central nervous system",0,8,1.6,2.0,0.19
32,C73,44,Thyroid,0,0,0.00,0.00,0.00
33,C81,44,Hodgkin lymphoma,0,0,0.00,0.00,0.00
34,C82-86+C88,44,Non-Hodgkin lymphoma,0,16,3.2,4.0,0.34
35,C90,44,Multiple myeloma,0,19,3.8,4.7,0.55
36,C91-95,44,Leukaemia,0,11,2.3,2.8,0.18
