Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,112,All cancers excl. non-melanoma skin cancer,0,22529,123.0,238.8,14.3
1,C00-06,112,"Lip, oral cavity",0,514,3.3,5.5,0.39
2,C07-08,112,Salivary glands,0,66,0.35,0.70,0.04
3,C09-10,112,Oropharynx,0,289,1.8,3.1,0.23
4,C11,112,Nasopharynx,0,25,0.14,0.27,0.02
5,C12-13,112,Hypopharynx,0,267,1.7,2.8,0.21
6,C15,112,Oesophagus,0,531,3.2,5.6,0.41
7,C16,112,Stomach,0,2125,11.3,22.5,1.4
41,C18-C21,112,Colorectum,0,2970,14.7,31.5,1.8
11,C22,112,Liver and intrahepatic bile ducts,0,548,3.0,5.8,0.39
12,C23,112,Gallbladder,0,109,0.52,1.2,0.06
13,C25,112,Pancreas,0,1237,6.6,13.1,0.83
14,C32,112,Larynx,0,401,2.4,4.3,0.31
15,C33-34,112,"Trachea, bronchus and lung",0,3824,21.1,40.5,2.8
16,C43,112,Melanoma of skin,0,326,1.8,3.5,0.22
18,C45,112,Mesothelioma,0,39,0.21,0.41,0.02
19,C46,112,Kaposi sarcoma,0,6,0.04,0.06,0.00
20,C50,112,Breast,0,1391,13.4,27.6,1.6
21,C51,112,Vulva,0,84,0.52,1.7,0.06
22,C52,112,Vagina,0,10,0.06,0.20,0.01
23,C53,112,Cervix uteri,0,371,4.4,7.4,0.46
24,C54,112,Corpus uteri,0,472,3.8,9.4,0.52
25,C56,112,Ovary,0,546,5.3,10.8,0.63
26,C60,112,Penis,0,18,0.24,0.41,0.03
27,C61,112,Prostate,0,1134,15.4,25.8,1.8
28,C62,112,Testis,0,20,0.32,0.46,0.04
29,C64,112,Kidney,0,667,3.7,7.1,0.48
30,C67,112,Bladder,0,437,2.1,4.6,0.26
31,C70-72,112," Brain, central nervous system",0,534,3.7,5.7,0.42
32,C73,112,Thyroid,0,45,0.23,0.48,0.03
33,C81,112,Hodgkin lymphoma,0,63,0.48,0.67,0.05
34,C82-86+C88,112,Non-Hodgkin lymphoma,0,476,2.6,5.1,0.32
35,C90,112,Multiple myeloma,0,258,1.3,2.7,0.18
36,C91-95,112,Leukaemia,0,705,4.0,7.5,0.46
