Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,56,All cancers excl. non-melanoma skin cancer,0,28875,92.1,247.5,9.7
1,C00-06,56,"Lip, oral cavity",0,248,0.96,2.1,0.12
2,C07-08,56,Salivary glands,0,39,0.12,0.33,0.01
3,C09-10,56,Oropharynx,0,192,0.84,1.7,0.11
4,C11,56,Nasopharynx,0,39,0.16,0.33,0.02
5,C12-13,56,Hypopharynx,0,131,0.50,1.1,0.06
6,C15,56,Oesophagus,0,878,3.1,7.5,0.38
7,C16,56,Stomach,0,721,2.3,6.2,0.24
41,C18-C21,56,Colorectum,0,3234,9.2,27.7,0.96
11,C22,56,Liver and intrahepatic bile ducts,0,1142,3.7,9.8,0.44
12,C23,56,Gallbladder,0,40,0.10,0.34,0.01
13,C25,56,Pancreas,0,2206,7.1,18.9,0.81
14,C32,56,Larynx,0,155,0.61,1.3,0.07
15,C33-34,56,"Trachea, bronchus and lung",0,6102,21.4,52.3,2.6
16,C43,56,Melanoma of skin,0,395,1.5,3.4,0.16
18,C45,56,Mesothelioma,0,282,0.89,2.4,0.11
19,C46,56,Kaposi sarcoma,0,1,0.00,0.01,0.00
20,C50,56,Breast,0,2347,14.3,39.9,1.5
21,C51,56,Vulva,0,69,0.29,1.2,0.03
22,C52,56,Vagina,0,20,0.09,0.34,0.01
23,C53,56,Cervix uteri,0,231,1.9,3.9,0.20
24,C54,56,Corpus uteri,0,380,1.8,6.5,0.20
25,C56,56,Ovary,0,594,3.7,10.1,0.42
26,C60,56,Penis,0,21,0.15,0.36,0.02
27,C61,56,Prostate,0,1902,10.1,32.8,0.80
28,C62,56,Testis,0,11,0.14,0.19,0.01
29,C64,56,Kidney,0,720,2.1,6.2,0.23
30,C67,56,Bladder,0,1151,2.9,9.9,0.28
31,C70-72,56," Brain, central nervous system",0,667,3.3,5.7,0.35
32,C73,56,Thyroid,0,123,0.34,1.1,0.04
33,C81,56,Hodgkin lymphoma,0,48,0.20,0.41,0.02
34,C82-86+C88,56,Non-Hodgkin lymphoma,0,826,2.3,7.1,0.22
35,C90,56,Multiple myeloma,0,556,1.6,4.8,0.17
36,C91-95,56,Leukaemia,0,1182,3.6,10.1,0.34
