Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,64,All cancers excl. non-melanoma skin cancer,0,478,66.8,60.7,8.0
1,C00-06,64,"Lip, oral cavity",0,13,2.0,1.7,0.28
2,C07-08,64,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,64,Oropharynx,0,8,1.3,1.0,0.22
4,C11,64,Nasopharynx,0,11,1.6,1.4,0.19
5,C12-13,64,Hypopharynx,0,5,0.70,0.63,0.11
6,C15,64,Oesophagus,0,46,6.5,5.8,0.79
7,C16,64,Stomach,0,103,14.2,13.1,1.7
41,C18-C21,64,Colorectum,0,20,2.8,2.5,0.37
11,C22,64,Liver and intrahepatic bile ducts,0,33,4.5,4.2,0.54
12,C23,64,Gallbladder,0,12,1.8,1.5,0.21
13,C25,64,Pancreas,0,14,2.0,1.8,0.27
14,C32,64,Larynx,0,9,1.3,1.1,0.19
15,C33-34,64,"Trachea, bronchus and lung",0,51,7.0,6.5,0.87
16,C43,64,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,64,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,64,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,64,Breast,0,8,2.3,2.2,0.28
21,C51,64,Vulva,0,0,0.00,0.00,0.00
22,C52,64,Vagina,0,0,0.00,0.00,0.00
23,C53,64,Cervix uteri,0,26,7.2,7.1,0.74
24,C54,64,Corpus uteri,0,0,0.00,0.00,0.00
25,C56,64,Ovary,0,14,4.1,3.8,0.46
26,C60,64,Penis,0,2,0.52,0.48,0.05
27,C61,64,Prostate,0,3,0.52,0.71,0.00
28,C62,64,Testis,0,0,0.00,0.00,0.00
29,C64,64,Kidney,0,1,0.18,0.13,0.03
30,C67,64,Bladder,0,4,0.51,0.51,0.07
31,C70-72,64," Brain, central nervous system",0,14,1.9,1.8,0.22
32,C73,64,Thyroid,0,0,0.00,0.00,0.00
33,C81,64,Hodgkin lymphoma,0,0,0.00,0.00,0.00
34,C82-86+C88,64,Non-Hodgkin lymphoma,0,8,1.2,1.0,0.17
35,C90,64,Multiple myeloma,0,2,0.32,0.25,0.05
36,C91-95,64,Leukaemia,0,16,1.9,2.0,0.18
